Run,Repetition,Module,Name,Value
First_exit_2-0-20191023-00:19:37-5082,0,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400027771061
First_exit_2-1-20191023-00:19:37-5083,1,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400102627184
First_exit_2-10-20191023-00:19:40-5103,10,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400041298196
First_exit_2-11-20191023-00:19:40-5104,11,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400129268225
First_exit_2-12-20191023-00:19:40-5109,12,ResponseTimeNetwork.sink,lifeTimeU1:min,0.40001241513499997
First_exit_2-13-20191023-00:19:41-5113,13,ResponseTimeNetwork.sink,lifeTimeU1:min,0.40024628825499997
First_exit_2-14-20191023-00:19:41-5114,14,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400760649331
First_exit_2-15-20191023-00:19:41-5116,15,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400572062097
First_exit_2-16-20191023-00:19:41-5118,16,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400049781939
First_exit_2-17-20191023-00:19:42-5122,17,ResponseTimeNetwork.sink,lifeTimeU1:min,0.40063843824900003
First_exit_2-18-20191023-00:19:42-5125,18,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400139512448
First_exit_2-19-20191023-00:19:42-5130,19,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400237422436
First_exit_2-2-20191023-00:19:37-5086,2,ResponseTimeNetwork.sink,lifeTimeU1:min,0.40020940592500004
First_exit_2-3-20191023-00:19:37-5088,3,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400135973329
First_exit_2-4-20191023-00:19:38-5090,4,ResponseTimeNetwork.sink,lifeTimeU1:min,0.40017235665600004
First_exit_2-5-20191023-00:19:38-5091,5,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400357781677
First_exit_2-6-20191023-00:19:39-5095,6,ResponseTimeNetwork.sink,lifeTimeU1:min,0.40060031861100004
First_exit_2-7-20191023-00:19:39-5097,7,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400430636201
First_exit_2-8-20191023-00:19:39-5099,8,ResponseTimeNetwork.sink,lifeTimeU1:min,0.40024489644
First_exit_2-9-20191023-00:19:40-5101,9,ResponseTimeNetwork.sink,lifeTimeU1:min,0.400129430136
