Run,Repetition,Module,Name,Value
First_exit_2-0-20191023-00:19:37-5082,0,ResponseTimeNetwork.sink,lifeTimeU2:max,12.550754590121
First_exit_2-1-20191023-00:19:37-5083,1,ResponseTimeNetwork.sink,lifeTimeU2:max,10.842819015391
First_exit_2-10-20191023-00:19:40-5103,10,ResponseTimeNetwork.sink,lifeTimeU2:max,11.700038148760001
First_exit_2-11-20191023-00:19:40-5104,11,ResponseTimeNetwork.sink,lifeTimeU2:max,10.096541619081
First_exit_2-12-20191023-00:19:40-5109,12,ResponseTimeNetwork.sink,lifeTimeU2:max,9.730580746085
First_exit_2-13-20191023-00:19:41-5113,13,ResponseTimeNetwork.sink,lifeTimeU2:max,13.114068118038
First_exit_2-14-20191023-00:19:41-5114,14,ResponseTimeNetwork.sink,lifeTimeU2:max,12.366451326805
First_exit_2-15-20191023-00:19:41-5116,15,ResponseTimeNetwork.sink,lifeTimeU2:max,11.231422958496001
First_exit_2-16-20191023-00:19:41-5118,16,ResponseTimeNetwork.sink,lifeTimeU2:max,12.149186741945
First_exit_2-17-20191023-00:19:42-5122,17,ResponseTimeNetwork.sink,lifeTimeU2:max,11.600330875883
First_exit_2-18-20191023-00:19:42-5125,18,ResponseTimeNetwork.sink,lifeTimeU2:max,11.650078135773999
First_exit_2-19-20191023-00:19:42-5130,19,ResponseTimeNetwork.sink,lifeTimeU2:max,10.394400831391
First_exit_2-2-20191023-00:19:37-5086,2,ResponseTimeNetwork.sink,lifeTimeU2:max,16.667248872624
First_exit_2-3-20191023-00:19:37-5088,3,ResponseTimeNetwork.sink,lifeTimeU2:max,10.576931695562001
First_exit_2-4-20191023-00:19:38-5090,4,ResponseTimeNetwork.sink,lifeTimeU2:max,11.146212312312
First_exit_2-5-20191023-00:19:38-5091,5,ResponseTimeNetwork.sink,lifeTimeU2:max,11.989351897454
First_exit_2-6-20191023-00:19:39-5095,6,ResponseTimeNetwork.sink,lifeTimeU2:max,10.564664662224999
First_exit_2-7-20191023-00:19:39-5097,7,ResponseTimeNetwork.sink,lifeTimeU2:max,10.211835831812
First_exit_2-8-20191023-00:19:39-5099,8,ResponseTimeNetwork.sink,lifeTimeU2:max,17.373307912462998
First_exit_2-9-20191023-00:19:40-5101,9,ResponseTimeNetwork.sink,lifeTimeU2:max,10.064338346968
