run,repetition,Module,Name,Value
First_exit_5-0-20191017-13:43:27-1819,0,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.9815103753842003
First_exit_5-1-20191017-13:43:27-1822,1,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8772546145272004
First_exit_5-10-20191017-13:43:31-1850,10,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.9840827446434997
First_exit_5-11-20191017-13:43:31-1853,11,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8863438044301004
First_exit_5-12-20191017-13:43:32-1855,12,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.9996468674458
First_exit_5-13-20191017-13:43:32-1857,13,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8656749755517996
First_exit_5-14-20191017-13:43:32-1859,14,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8731960669501
First_exit_5-15-20191017-13:43:33-1860,15,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.9795434469114
First_exit_5-16-20191017-13:43:33-1862,16,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8609281777503996
First_exit_5-17-20191017-13:43:34-1865,17,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.9714207342031003
First_exit_5-18-20191017-13:43:34-1867,18,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8941640843487995
First_exit_5-19-20191017-13:43:34-1869,19,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8794288864258997
First_exit_5-2-20191017-13:43:27-1824,2,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8494771713291
First_exit_5-3-20191017-13:43:28-1827,3,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8723837904778
First_exit_5-4-20191017-13:43:28-1831,4,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8762826747627996
First_exit_5-5-20191017-13:43:29-1834,5,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8466445459824
First_exit_5-6-20191017-13:43:29-1837,6,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.8509655413995
First_exit_5-7-20191017-13:43:30-1840,7,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.9518733995077997
First_exit_5-8-20191017-13:43:30-1842,8,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.9094629520124
First_exit_5-9-20191017-13:43:30-1846,9,ResponseTimeNetwork.sink,lifeTimeU2:mean,2.9494166163910003
