run,repetition,Module,Name,Value
First_exit_5-0-20191017-13:43:27-1819,0,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400881405035
First_exit_5-1-20191017-13:43:27-1822,1,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400607967936
First_exit_5-10-20191017-13:43:31-1850,10,ResponseTimeNetwork.sink,lifeTimeU2:min,0.4006058725990001
First_exit_5-11-20191017-13:43:31-1853,11,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400177553575
First_exit_5-12-20191017-13:43:32-1855,12,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400262579601
First_exit_5-13-20191017-13:43:32-1857,13,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400322152721
First_exit_5-14-20191017-13:43:32-1859,14,ResponseTimeNetwork.sink,lifeTimeU2:min,0.401158917695
First_exit_5-15-20191017-13:43:33-1860,15,ResponseTimeNetwork.sink,lifeTimeU2:min,0.402161753038
First_exit_5-16-20191017-13:43:33-1862,16,ResponseTimeNetwork.sink,lifeTimeU2:min,0.40071202158
First_exit_5-17-20191017-13:43:34-1865,17,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400500789797
First_exit_5-18-20191017-13:43:34-1867,18,ResponseTimeNetwork.sink,lifeTimeU2:min,0.4021972863
First_exit_5-19-20191017-13:43:34-1869,19,ResponseTimeNetwork.sink,lifeTimeU2:min,0.402139059873
First_exit_5-2-20191017-13:43:27-1824,2,ResponseTimeNetwork.sink,lifeTimeU2:min,0.40011154064
First_exit_5-3-20191017-13:43:28-1827,3,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400008840952
First_exit_5-4-20191017-13:43:28-1831,4,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400773233222
First_exit_5-5-20191017-13:43:29-1834,5,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400385374902
First_exit_5-6-20191017-13:43:29-1837,6,ResponseTimeNetwork.sink,lifeTimeU2:min,0.4003055715
First_exit_5-7-20191017-13:43:30-1840,7,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400179286115
First_exit_5-8-20191017-13:43:30-1842,8,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400219573313
First_exit_5-9-20191017-13:43:30-1846,9,ResponseTimeNetwork.sink,lifeTimeU2:min,0.400095903641
