Run,Repetition,Module,Name,Value
First_exit_8-0-20191023-00:19:38-5094,0,ResponseTimeNetwork.QueueU2,queueLength:mean,9.2531887755102
First_exit_8-1-20191023-00:19:40-5100,1,ResponseTimeNetwork.QueueU2,queueLength:mean,5.451792445669999
First_exit_8-10-20191023-00:19:47-5148,10,ResponseTimeNetwork.QueueU2,queueLength:mean,6.8056232287575
First_exit_8-11-20191023-00:19:47-5150,11,ResponseTimeNetwork.QueueU2,queueLength:mean,8.3639251845305
First_exit_8-12-20191023-00:19:48-5155,12,ResponseTimeNetwork.QueueU2,queueLength:mean,6.4002185459072995
First_exit_8-13-20191023-00:19:49-5161,13,ResponseTimeNetwork.QueueU2,queueLength:mean,5.6571266577922
First_exit_8-14-20191023-00:19:50-5167,14,ResponseTimeNetwork.QueueU2,queueLength:mean,5.116314400703599
First_exit_8-15-20191023-00:19:51-5172,15,ResponseTimeNetwork.QueueU2,queueLength:mean,6.883520671523
First_exit_8-16-20191023-00:19:51-5176,16,ResponseTimeNetwork.QueueU2,queueLength:mean,6.4846547633912
First_exit_8-17-20191023-00:19:52-5182,17,ResponseTimeNetwork.QueueU2,queueLength:mean,6.7706309156185
First_exit_8-18-20191023-00:19:53-5185,18,ResponseTimeNetwork.QueueU2,queueLength:mean,6.212995484194701
First_exit_8-19-20191023-00:19:53-5186,19,ResponseTimeNetwork.QueueU2,queueLength:mean,6.5239953276835
First_exit_8-2-20191023-00:19:40-5111,2,ResponseTimeNetwork.QueueU2,queueLength:mean,4.8815844048113
First_exit_8-3-20191023-00:19:41-5117,3,ResponseTimeNetwork.QueueU2,queueLength:mean,6.2226379339666
First_exit_8-4-20191023-00:19:42-5128,4,ResponseTimeNetwork.QueueU2,queueLength:mean,5.5780221462469015
First_exit_8-5-20191023-00:19:43-5133,5,ResponseTimeNetwork.QueueU2,queueLength:mean,4.1316784307505
First_exit_8-6-20191023-00:19:44-5137,6,ResponseTimeNetwork.QueueU2,queueLength:mean,7.3945900997848
First_exit_8-7-20191023-00:19:45-5141,7,ResponseTimeNetwork.QueueU2,queueLength:mean,8.1502688107235
First_exit_8-8-20191023-00:19:45-5145,8,ResponseTimeNetwork.QueueU2,queueLength:mean,6.3517115564902005
First_exit_8-9-20191023-00:19:46-5146,9,ResponseTimeNetwork.QueueU2,queueLength:mean,9.2211842449309
