Run,Repetition,Module,Name,Value
First_exit_8-0-20191114-11:42:23-8823,0,ResponseTimeNetwork.sink,lifeTime4s:count,3908
First_exit_8-0-20191114-11:42:23-8823,0,ResponseTimeNetwork.sink,lifeTime3s:count,4154
First_exit_8-0-20191114-11:42:23-8823,0,ResponseTimeNetwork.sink,lifeTime2s:count,4455
First_exit_8-0-20191114-11:42:23-8823,0,ResponseTimeNetwork.sink,numJobs:count,5018
First_exit_8-1-20191114-11:42:23-8828,1,ResponseTimeNetwork.sink,lifeTime4s:count,3799
First_exit_8-1-20191114-11:42:23-8828,1,ResponseTimeNetwork.sink,lifeTime3s:count,4067
First_exit_8-1-20191114-11:42:23-8828,1,ResponseTimeNetwork.sink,lifeTime2s:count,4365
First_exit_8-1-20191114-11:42:23-8828,1,ResponseTimeNetwork.sink,numJobs:count,5021
First_exit_8-10-20191114-11:42:30-8883,10,ResponseTimeNetwork.sink,lifeTime4s:count,3834
First_exit_8-10-20191114-11:42:30-8883,10,ResponseTimeNetwork.sink,lifeTime3s:count,4109
First_exit_8-10-20191114-11:42:30-8883,10,ResponseTimeNetwork.sink,lifeTime2s:count,4406
First_exit_8-10-20191114-11:42:30-8883,10,ResponseTimeNetwork.sink,numJobs:count,4977
First_exit_8-11-20191114-11:42:31-8889,11,ResponseTimeNetwork.sink,lifeTime4s:count,3974
First_exit_8-11-20191114-11:42:31-8889,11,ResponseTimeNetwork.sink,lifeTime3s:count,4187
First_exit_8-11-20191114-11:42:31-8889,11,ResponseTimeNetwork.sink,lifeTime2s:count,4475
First_exit_8-11-20191114-11:42:31-8889,11,ResponseTimeNetwork.sink,numJobs:count,5027
First_exit_8-12-20191114-11:42:31-8894,12,ResponseTimeNetwork.sink,lifeTime4s:count,3887
First_exit_8-12-20191114-11:42:31-8894,12,ResponseTimeNetwork.sink,lifeTime3s:count,4150
First_exit_8-12-20191114-11:42:31-8894,12,ResponseTimeNetwork.sink,lifeTime2s:count,4439
First_exit_8-12-20191114-11:42:31-8894,12,ResponseTimeNetwork.sink,numJobs:count,5014
First_exit_8-13-20191114-11:42:32-8897,13,ResponseTimeNetwork.sink,lifeTime4s:count,3861
First_exit_8-13-20191114-11:42:32-8897,13,ResponseTimeNetwork.sink,lifeTime3s:count,4147
First_exit_8-13-20191114-11:42:32-8897,13,ResponseTimeNetwork.sink,lifeTime2s:count,4427
First_exit_8-13-20191114-11:42:32-8897,13,ResponseTimeNetwork.sink,numJobs:count,5023
First_exit_8-14-20191114-11:42:33-8901,14,ResponseTimeNetwork.sink,lifeTime4s:count,3795
First_exit_8-14-20191114-11:42:33-8901,14,ResponseTimeNetwork.sink,lifeTime3s:count,4059
First_exit_8-14-20191114-11:42:33-8901,14,ResponseTimeNetwork.sink,lifeTime2s:count,4376
First_exit_8-14-20191114-11:42:33-8901,14,ResponseTimeNetwork.sink,numJobs:count,5044
First_exit_8-15-20191114-11:42:33-8903,15,ResponseTimeNetwork.sink,lifeTime4s:count,3887
First_exit_8-15-20191114-11:42:33-8903,15,ResponseTimeNetwork.sink,lifeTime3s:count,4137
First_exit_8-15-20191114-11:42:33-8903,15,ResponseTimeNetwork.sink,lifeTime2s:count,4421
First_exit_8-15-20191114-11:42:33-8903,15,ResponseTimeNetwork.sink,numJobs:count,5001
First_exit_8-16-20191114-11:42:34-8907,16,ResponseTimeNetwork.sink,lifeTime4s:count,3820
