Run,Repetition,Module,Name,Value
First_exit_8-0-20191023-00:19:38-5094,0,ResponseTimeNetwork.sink,lifeTime:mean,41.441203466058
First_exit_8-1-20191023-00:19:40-5100,1,ResponseTimeNetwork.sink,lifeTime:mean,27.120035337638
First_exit_8-10-20191023-00:19:47-5148,10,ResponseTimeNetwork.sink,lifeTime:mean,33.003599403628
First_exit_8-11-20191023-00:19:47-5150,11,ResponseTimeNetwork.sink,lifeTime:mean,38.647913126121004
First_exit_8-12-20191023-00:19:48-5155,12,ResponseTimeNetwork.sink,lifeTime:mean,30.381989180294
First_exit_8-13-20191023-00:19:49-5161,13,ResponseTimeNetwork.sink,lifeTime:mean,28.909504928909
First_exit_8-14-20191023-00:19:50-5167,14,ResponseTimeNetwork.sink,lifeTime:mean,25.806560809119002
First_exit_8-15-20191023-00:19:51-5172,15,ResponseTimeNetwork.sink,lifeTime:mean,32.405624246893
First_exit_8-16-20191023-00:19:51-5176,16,ResponseTimeNetwork.sink,lifeTime:mean,29.788675106188997
First_exit_8-17-20191023-00:19:52-5182,17,ResponseTimeNetwork.sink,lifeTime:mean,32.082345803417
First_exit_8-18-20191023-00:19:53-5185,18,ResponseTimeNetwork.sink,lifeTime:mean,30.339011427549
First_exit_8-19-20191023-00:19:53-5186,19,ResponseTimeNetwork.sink,lifeTime:mean,30.439390805931
First_exit_8-2-20191023-00:19:40-5111,2,ResponseTimeNetwork.sink,lifeTime:mean,25.107128348863
First_exit_8-3-20191023-00:19:41-5117,3,ResponseTimeNetwork.sink,lifeTime:mean,30.682496114688
First_exit_8-4-20191023-00:19:42-5128,4,ResponseTimeNetwork.sink,lifeTime:mean,27.451529570629997
First_exit_8-5-20191023-00:19:43-5133,5,ResponseTimeNetwork.sink,lifeTime:mean,22.183090257525002
First_exit_8-6-20191023-00:19:44-5137,6,ResponseTimeNetwork.sink,lifeTime:mean,34.577572092287
First_exit_8-7-20191023-00:19:45-5141,7,ResponseTimeNetwork.sink,lifeTime:mean,36.683289325481
First_exit_8-8-20191023-00:19:45-5145,8,ResponseTimeNetwork.sink,lifeTime:mean,31.207729789308
First_exit_8-9-20191023-00:19:46-5146,9,ResponseTimeNetwork.sink,lifeTime:mean,41.967009692571004
