run,repetition,Module,Name,Value
First_exit_8-0-20191017-13:43:28-1832,0,ResponseTimeNetwork.sink,lifeTimeU1:max,88.12012550204399
First_exit_8-1-20191017-13:43:29-1838,1,ResponseTimeNetwork.sink,lifeTimeU1:max,64.657751469502
First_exit_8-10-20191017-13:43:35-1872,10,ResponseTimeNetwork.sink,lifeTimeU1:max,69.764947615267
First_exit_8-11-20191017-13:43:36-1874,11,ResponseTimeNetwork.sink,lifeTimeU1:max,65.075061492589
First_exit_8-12-20191017-13:43:36-1875,12,ResponseTimeNetwork.sink,lifeTimeU1:max,86.55765544300198
First_exit_8-13-20191017-13:43:37-1877,13,ResponseTimeNetwork.sink,lifeTimeU1:max,93.555949324801
First_exit_8-14-20191017-13:43:38-1879,14,ResponseTimeNetwork.sink,lifeTimeU1:max,58.816494960099
First_exit_8-15-20191017-13:43:38-1881,15,ResponseTimeNetwork.sink,lifeTimeU1:max,80.994733661132
First_exit_8-16-20191017-13:43:39-1883,16,ResponseTimeNetwork.sink,lifeTimeU1:max,63.346332903465004
First_exit_8-17-20191017-13:43:40-1888,17,ResponseTimeNetwork.sink,lifeTimeU1:max,88.28481491670902
First_exit_8-18-20191017-13:43:40-1890,18,ResponseTimeNetwork.sink,lifeTimeU1:max,77.529443935877
First_exit_8-19-20191017-13:43:41-1896,19,ResponseTimeNetwork.sink,lifeTimeU1:max,82.906692946279
First_exit_8-2-20191017-13:43:30-1843,2,ResponseTimeNetwork.sink,lifeTimeU1:max,80.50158658478699
First_exit_8-3-20191017-13:43:31-1848,3,ResponseTimeNetwork.sink,lifeTimeU1:max,63.357668744869
First_exit_8-4-20191017-13:43:31-1854,4,ResponseTimeNetwork.sink,lifeTimeU1:max,63.96698094675801
First_exit_8-5-20191017-13:43:32-1856,5,ResponseTimeNetwork.sink,lifeTimeU1:max,82.463981333371
First_exit_8-6-20191017-13:43:32-1858,6,ResponseTimeNetwork.sink,lifeTimeU1:max,70.927071264934
First_exit_8-7-20191017-13:43:33-1861,7,ResponseTimeNetwork.sink,lifeTimeU1:max,66.906740273587
First_exit_8-8-20191017-13:43:34-1866,8,ResponseTimeNetwork.sink,lifeTimeU1:max,64.662690898948
First_exit_8-9-20191017-13:43:35-1870,9,ResponseTimeNetwork.sink,lifeTimeU1:max,89.576044412533
