Run,Repetition,Module,Name,Value
First_exit_8-0-20191114-11:42:23-8823,0,ResponseTimeNetwork.sink,lifeTimeU2:mean,58.834129607330006
First_exit_8-1-20191114-11:42:23-8828,1,ResponseTimeNetwork.sink,lifeTimeU2:mean,39.739469395233996
First_exit_8-10-20191114-11:42:30-8883,10,ResponseTimeNetwork.sink,lifeTimeU2:mean,45.811638135497
First_exit_8-11-20191114-11:42:31-8889,11,ResponseTimeNetwork.sink,lifeTimeU2:mean,48.07857654466501
First_exit_8-12-20191114-11:42:31-8894,12,ResponseTimeNetwork.sink,lifeTimeU2:mean,42.725292009282
First_exit_8-13-20191114-11:42:32-8897,13,ResponseTimeNetwork.sink,lifeTimeU2:mean,41.280107132194
First_exit_8-14-20191114-11:42:33-8901,14,ResponseTimeNetwork.sink,lifeTimeU2:mean,40.406578166879
First_exit_8-15-20191114-11:42:33-8903,15,ResponseTimeNetwork.sink,lifeTimeU2:mean,49.838529809689
First_exit_8-16-20191114-11:42:34-8907,16,ResponseTimeNetwork.sink,lifeTimeU2:mean,48.619868336604995
First_exit_8-17-20191114-11:42:34-8910,17,ResponseTimeNetwork.sink,lifeTimeU2:mean,44.206755857838004
First_exit_8-18-20191114-11:42:35-8914,18,ResponseTimeNetwork.sink,lifeTimeU2:mean,42.961830593524
First_exit_8-19-20191114-11:42:36-8919,19,ResponseTimeNetwork.sink,lifeTimeU2:mean,39.689467740318
First_exit_8-2-20191114-11:42:24-8833,2,ResponseTimeNetwork.sink,lifeTimeU2:mean,34.487082532423
First_exit_8-3-20191114-11:42:25-8840,3,ResponseTimeNetwork.sink,lifeTimeU2:mean,45.981056362111
First_exit_8-4-20191114-11:42:25-8845,4,ResponseTimeNetwork.sink,lifeTimeU2:mean,40.652197929292
First_exit_8-5-20191114-11:42:26-8852,5,ResponseTimeNetwork.sink,lifeTimeU2:mean,33.130619366767
First_exit_8-6-20191114-11:42:27-8859,6,ResponseTimeNetwork.sink,lifeTimeU2:mean,52.30310105019
First_exit_8-7-20191114-11:42:28-8866,7,ResponseTimeNetwork.sink,lifeTimeU2:mean,58.227057373159
First_exit_8-8-20191114-11:42:28-8870,8,ResponseTimeNetwork.sink,lifeTimeU2:mean,48.871356851836005
First_exit_8-9-20191114-11:42:29-8877,9,ResponseTimeNetwork.sink,lifeTimeU2:mean,63.75380218245
