run,repetition,Module,Name,Value
First_exit_9-0-20191017-13:43:33-1864,0,ResponseTimeNetwork.SS2,queueLength:mean,3.4407602779871
First_exit_9-1-20191017-13:43:34-1868,1,ResponseTimeNetwork.SS2,queueLength:mean,3.4180822800097
First_exit_9-10-20191017-13:43:41-1895,10,ResponseTimeNetwork.SS2,queueLength:mean,2.9329196449611
First_exit_9-11-20191017-13:43:41-1897,11,ResponseTimeNetwork.SS2,queueLength:mean,3.261963842609
First_exit_9-12-20191017-13:43:42-1898,12,ResponseTimeNetwork.SS2,queueLength:mean,2.8755332258982005
First_exit_9-13-20191017-13:43:43-1899,13,ResponseTimeNetwork.SS2,queueLength:mean,2.7588458484072995
First_exit_9-14-20191017-13:43:43-1900,14,ResponseTimeNetwork.SS2,queueLength:mean,3.0586914440573003
First_exit_9-15-20191017-13:43:44-1901,15,ResponseTimeNetwork.SS2,queueLength:mean,3.2025534581342994
First_exit_9-16-20191017-13:43:44-1902,16,ResponseTimeNetwork.SS2,queueLength:mean,3.2929771331311
First_exit_9-17-20191017-13:43:45-1907,17,ResponseTimeNetwork.SS2,queueLength:mean,3.160084572982
First_exit_9-18-20191017-13:43:45-1911,18,ResponseTimeNetwork.SS2,queueLength:mean,2.9188188629352005
First_exit_9-19-20191017-13:43:46-1915,19,ResponseTimeNetwork.SS2,queueLength:mean,2.6601436124043
First_exit_9-2-20191017-13:43:35-1871,2,ResponseTimeNetwork.SS2,queueLength:mean,2.7342674736755
First_exit_9-3-20191017-13:43:36-1873,3,ResponseTimeNetwork.SS2,queueLength:mean,2.4853243881985
First_exit_9-4-20191017-13:43:37-1876,4,ResponseTimeNetwork.SS2,queueLength:mean,2.7161152614727997
First_exit_9-5-20191017-13:43:37-1878,5,ResponseTimeNetwork.SS2,queueLength:mean,2.7915553640672006
First_exit_9-6-20191017-13:43:38-1880,6,ResponseTimeNetwork.SS2,queueLength:mean,2.7980331014632003
First_exit_9-7-20191017-13:43:39-1882,7,ResponseTimeNetwork.SS2,queueLength:mean,2.5738904845732997
First_exit_9-8-20191017-13:43:39-1885,8,ResponseTimeNetwork.SS2,queueLength:mean,3.0841838753066004
First_exit_9-9-20191017-13:43:40-1889,9,ResponseTimeNetwork.SS2,queueLength:mean,2.7698203395418
