Run,Repetition,Module,Name,Value
First_exit_9-0-20191114-11:42:24-8836,0,ResponseTimeNetwork.sink,totalServiceTime:sum,24984.658277862003
First_exit_9-1-20191114-11:42:25-8844,1,ResponseTimeNetwork.sink,totalServiceTime:sum,25346.728112527002
First_exit_9-10-20191114-11:42:33-8902,10,ResponseTimeNetwork.sink,totalServiceTime:sum,25493.521251136
First_exit_9-11-20191114-11:42:34-8904,11,ResponseTimeNetwork.sink,totalServiceTime:sum,25296.958573091
First_exit_9-12-20191114-11:42:34-8909,12,ResponseTimeNetwork.sink,totalServiceTime:sum,24882.817752602
First_exit_9-13-20191114-11:42:35-8913,13,ResponseTimeNetwork.sink,totalServiceTime:sum,25208.419547768997
First_exit_9-14-20191114-11:42:36-8918,14,ResponseTimeNetwork.sink,totalServiceTime:sum,24726.283140338997
First_exit_9-15-20191114-11:42:36-8922,15,ResponseTimeNetwork.sink,totalServiceTime:sum,25125.053889851002
First_exit_9-16-20191114-11:42:37-8926,16,ResponseTimeNetwork.sink,totalServiceTime:sum,25758.711617917
First_exit_9-17-20191114-11:42:38-8928,17,ResponseTimeNetwork.sink,totalServiceTime:sum,24579.329019676003
First_exit_9-18-20191114-11:42:38-8932,18,ResponseTimeNetwork.sink,totalServiceTime:sum,24604.731825264
First_exit_9-19-20191114-11:42:39-8936,19,ResponseTimeNetwork.sink,totalServiceTime:sum,25398.584936537
First_exit_9-2-20191114-11:42:26-8851,2,ResponseTimeNetwork.sink,totalServiceTime:sum,24984.916788246002
First_exit_9-3-20191114-11:42:27-8858,3,ResponseTimeNetwork.sink,totalServiceTime:sum,24908.517406681
First_exit_9-4-20191114-11:42:28-8863,4,ResponseTimeNetwork.sink,totalServiceTime:sum,25313.982627613997
First_exit_9-5-20191114-11:42:28-8871,5,ResponseTimeNetwork.sink,totalServiceTime:sum,25529.536352729
First_exit_9-6-20191114-11:42:29-8880,6,ResponseTimeNetwork.sink,totalServiceTime:sum,24705.542197226
First_exit_9-7-20191114-11:42:30-8885,7,ResponseTimeNetwork.sink,totalServiceTime:sum,25685.443193627998
First_exit_9-8-20191114-11:42:31-8892,8,ResponseTimeNetwork.sink,totalServiceTime:sum,25188.628625554
First_exit_9-9-20191114-11:42:32-8899,9,ResponseTimeNetwork.sink,totalServiceTime:sum,25121.42644034
