Run,Repetition,Module,Name,Value
First_exit_9-0-20191114-11:42:24-8836,0,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21832.331867432
First_exit_9-1-20191114-11:42:25-8844,1,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21977.816126693
First_exit_9-10-20191114-11:42:33-8902,10,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21461.913515589
First_exit_9-11-20191114-11:42:34-8904,11,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,20922.510516506
First_exit_9-12-20191114-11:42:34-8909,12,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,22314.539483435
First_exit_9-13-20191114-11:42:35-8913,13,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21746.437326126
First_exit_9-14-20191114-11:42:36-8918,14,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,20707.688227116
First_exit_9-15-20191114-11:42:36-8922,15,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21483.057392865
First_exit_9-16-20191114-11:42:37-8926,16,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21722.141802887
First_exit_9-17-20191114-11:42:38-8928,17,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,20357.120563013
First_exit_9-18-20191114-11:42:38-8932,18,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21250.737248156
First_exit_9-19-20191114-11:42:39-8936,19,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21082.638228136002
First_exit_9-2-20191114-11:42:26-8851,2,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21272.012442258
First_exit_9-3-20191114-11:42:27-8858,3,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,20753.256430244
First_exit_9-4-20191114-11:42:28-8863,4,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,20881.144740982
First_exit_9-5-20191114-11:42:28-8871,5,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21971.428331826002
First_exit_9-6-20191114-11:42:29-8880,6,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21012.059302781003
First_exit_9-7-20191114-11:42:30-8885,7,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,22285.730052217
First_exit_9-8-20191114-11:42:31-8892,8,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21559.739784343998
First_exit_9-9-20191114-11:42:32-8899,9,ResponseTimeNetwork.sink,totalServiceTimeU1:sum,21573.447649364
