exitProb,Name,Mean,lowConfInt,upConfInt
5,LengthQueueU2,0.792,0.775,0.808
5,LengthQueueU1,0.598,0.59,0.607
5,LengthSS1,0.532,0.515,0.549
5,LengthSS2,0.621,0.604,0.638
2,LengthQueueU2,0.614,0.608,0.62
2,LengthQueueU1,0.553,0.547,0.56
2,LengthSS1,0.511,0.489,0.533
2,LengthSS2,0.504,0.496,0.512
9,LengthQueueU2,2160.188,2099.081,2221.295
9,LengthQueueU1,2.452,2.341,2.562
9,LengthSS1,0.744,0.735,0.752
9,LengthSS2,2.912,2.744,3.081
8,LengthQueueU2,6.459,5.849,7.069
8,LengthQueueU1,0.839,0.824,0.853
8,LengthSS1,0.599,0.588,0.609
8,LengthSS2,1.687,1.627,1.747
