exitProb,Name,Mean,lowConfInt,upConfInt
5,LifeTimeU2min,0.401,0.4,0.401
5,LifeTimeU1max,16.652,15.708,17.596
5,LifeTimeU2max,28.266,26.015,30.518
5,LifeTimeU1min,0.401,0.401,0.401
2,LifeTimeU2min,0.4,0.4,0.4
2,LifeTimeU1max,7.374,6.791,7.958
2,LifeTimeU2max,11.009,10.146,11.873
2,LifeTimeU1min,0.4,0.4,0.4
9,LifeTimeU2min,1902.466,1678.061,2126.872
9,LifeTimeU1max,348.691,305.7,391.682
9,LifeTimeU2max,28181.349,27642.789,28719.91
9,LifeTimeU1min,0.517,0.489,0.545
8,LifeTimeU2min,0.405,0.403,0.407
8,LifeTimeU1max,73.156,68.196,78.115
8,LifeTimeU2max,712.717,599.955,825.48
8,LifeTimeU1min,0.412,0.405,0.419
