run,repetition,Module,Name,Value
Second_exit_2-0-20191017-13:43:44-1904,0,ResponseTimeNetwork.SS2,queueLength:mean,0.48148148148148
Second_exit_2-1-20191017-13:43:45-1905,1,ResponseTimeNetwork.SS2,queueLength:mean,0.58974358974359
Second_exit_2-10-20191017-13:43:46-1917,10,ResponseTimeNetwork.SS2,queueLength:mean,0.48
Second_exit_2-11-20191017-13:43:47-1918,11,ResponseTimeNetwork.SS2,queueLength:mean,0.47619047619048
Second_exit_2-12-20191017-13:43:47-1919,12,ResponseTimeNetwork.SS2,queueLength:mean,0.47058823529412
Second_exit_2-13-20191017-13:43:47-1920,13,ResponseTimeNetwork.SS2,queueLength:mean,0.47826086956521996
Second_exit_2-14-20191017-13:43:47-1921,14,ResponseTimeNetwork.SS2,queueLength:mean,0.46666666666667
Second_exit_2-15-20191017-13:43:48-1922,15,ResponseTimeNetwork.SS2,queueLength:mean,0.4827586206896599
Second_exit_2-16-20191017-13:43:48-1923,16,ResponseTimeNetwork.SS2,queueLength:mean,0.44444444444444003
Second_exit_2-17-20191017-13:43:48-1924,17,ResponseTimeNetwork.SS2,queueLength:mean,0.47058823529412
Second_exit_2-18-20191017-13:43:48-1925,18,ResponseTimeNetwork.SS2,queueLength:mean,0.56521739130435
Second_exit_2-19-20191017-13:43:48-1926,19,ResponseTimeNetwork.SS2,queueLength:mean,0.57894736842105
Second_exit_2-2-20191017-13:43:45-1906,2,ResponseTimeNetwork.SS2,queueLength:mean,0.4827586206896599
Second_exit_2-3-20191017-13:43:45-1908,3,ResponseTimeNetwork.SS2,queueLength:mean,0.48
Second_exit_2-4-20191017-13:43:45-1909,4,ResponseTimeNetwork.SS2,queueLength:mean,0.46153846153846
Second_exit_2-5-20191017-13:43:45-1910,5,ResponseTimeNetwork.SS2,queueLength:mean,0.47058823529412
Second_exit_2-6-20191017-13:43:46-1912,6,ResponseTimeNetwork.SS2,queueLength:mean,0.47368421052632004
Second_exit_2-7-20191017-13:43:46-1913,7,ResponseTimeNetwork.SS2,queueLength:mean,0.47619047619048
Second_exit_2-8-20191017-13:43:46-1914,8,ResponseTimeNetwork.SS2,queueLength:mean,0.48780487804878003
Second_exit_2-9-20191017-13:43:46-1916,9,ResponseTimeNetwork.SS2,queueLength:mean,0.48
