run,repetition,Module,Name,Value
Second_exit_2-0-20191017-13:43:44-1904,0,ResponseTimeNetwork.sink,lifeTimeU1:max,17.89063123529
Second_exit_2-1-20191017-13:43:45-1905,1,ResponseTimeNetwork.sink,lifeTimeU1:max,15.153773355413001
Second_exit_2-10-20191017-13:43:46-1917,10,ResponseTimeNetwork.sink,lifeTimeU1:max,19.237297525739997
Second_exit_2-11-20191017-13:43:47-1918,11,ResponseTimeNetwork.sink,lifeTimeU1:max,23.523595468613
Second_exit_2-12-20191017-13:43:47-1919,12,ResponseTimeNetwork.sink,lifeTimeU1:max,13.299783047255001
Second_exit_2-13-20191017-13:43:47-1920,13,ResponseTimeNetwork.sink,lifeTimeU1:max,15.172573593912
Second_exit_2-14-20191017-13:43:47-1921,14,ResponseTimeNetwork.sink,lifeTimeU1:max,14.302648389239
Second_exit_2-15-20191017-13:43:48-1922,15,ResponseTimeNetwork.sink,lifeTimeU1:max,13.5527990831
Second_exit_2-16-20191017-13:43:48-1923,16,ResponseTimeNetwork.sink,lifeTimeU1:max,11.07986718039
Second_exit_2-17-20191017-13:43:48-1924,17,ResponseTimeNetwork.sink,lifeTimeU1:max,14.863137498648
Second_exit_2-18-20191017-13:43:48-1925,18,ResponseTimeNetwork.sink,lifeTimeU1:max,12.733165344456001
Second_exit_2-19-20191017-13:43:48-1926,19,ResponseTimeNetwork.sink,lifeTimeU1:max,17.034678875989
Second_exit_2-2-20191017-13:43:45-1906,2,ResponseTimeNetwork.sink,lifeTimeU1:max,14.163994655779
Second_exit_2-3-20191017-13:43:45-1908,3,ResponseTimeNetwork.sink,lifeTimeU1:max,18.804256736724
Second_exit_2-4-20191017-13:43:45-1909,4,ResponseTimeNetwork.sink,lifeTimeU1:max,13.92081106629
Second_exit_2-5-20191017-13:43:45-1910,5,ResponseTimeNetwork.sink,lifeTimeU1:max,15.819283402412
Second_exit_2-6-20191017-13:43:46-1912,6,ResponseTimeNetwork.sink,lifeTimeU1:max,13.908795752453
Second_exit_2-7-20191017-13:43:46-1913,7,ResponseTimeNetwork.sink,lifeTimeU1:max,13.929800116522
Second_exit_2-8-20191017-13:43:46-1914,8,ResponseTimeNetwork.sink,lifeTimeU1:max,13.929242942593
Second_exit_2-9-20191017-13:43:46-1916,9,ResponseTimeNetwork.sink,lifeTimeU1:max,14.988031564509999
