Run,Repetition,Module,Name,Value
Second_exit_2-0-20191114-11:42:28-8864,0,ResponseTimeNetwork.sink,totalServiceTime:sum,6325.1255288973
Second_exit_2-1-20191114-11:42:28-8867,1,ResponseTimeNetwork.sink,totalServiceTime:sum,6249.476230355699
Second_exit_2-10-20191114-11:42:30-8886,10,ResponseTimeNetwork.sink,totalServiceTime:sum,6163.1667822515
Second_exit_2-11-20191114-11:42:31-8887,11,ResponseTimeNetwork.sink,totalServiceTime:sum,6121.352990601899
Second_exit_2-12-20191114-11:42:31-8888,12,ResponseTimeNetwork.sink,totalServiceTime:sum,5860.8302961868
Second_exit_2-13-20191114-11:42:31-8890,13,ResponseTimeNetwork.sink,totalServiceTime:sum,5937.4395800838
Second_exit_2-14-20191114-11:42:31-8891,14,ResponseTimeNetwork.sink,totalServiceTime:sum,6114.7019619815
Second_exit_2-15-20191114-11:42:31-8893,15,ResponseTimeNetwork.sink,totalServiceTime:sum,6110.3232649393
Second_exit_2-16-20191114-11:42:32-8895,16,ResponseTimeNetwork.sink,totalServiceTime:sum,5804.7879742908
Second_exit_2-17-20191114-11:42:32-8896,17,ResponseTimeNetwork.sink,totalServiceTime:sum,6328.007531191601
Second_exit_2-18-20191114-11:42:32-8898,18,ResponseTimeNetwork.sink,totalServiceTime:sum,6089.9994820324
Second_exit_2-19-20191114-11:42:32-8900,19,ResponseTimeNetwork.sink,totalServiceTime:sum,5709.8390687625
Second_exit_2-2-20191114-11:42:28-8869,2,ResponseTimeNetwork.sink,totalServiceTime:sum,6283.4771332794
Second_exit_2-3-20191114-11:42:29-8873,3,ResponseTimeNetwork.sink,totalServiceTime:sum,6236.5923008869995
Second_exit_2-4-20191114-11:42:29-8874,4,ResponseTimeNetwork.sink,totalServiceTime:sum,5990.4026577475
Second_exit_2-5-20191114-11:42:29-8876,5,ResponseTimeNetwork.sink,totalServiceTime:sum,6218.9573647275
Second_exit_2-6-20191114-11:42:29-8878,6,ResponseTimeNetwork.sink,totalServiceTime:sum,6189.3590766241
Second_exit_2-7-20191114-11:42:30-8881,7,ResponseTimeNetwork.sink,totalServiceTime:sum,6232.244118125301
Second_exit_2-8-20191114-11:42:30-8882,8,ResponseTimeNetwork.sink,totalServiceTime:sum,5985.5419962696
Second_exit_2-9-20191114-11:42:30-8884,9,ResponseTimeNetwork.sink,totalServiceTime:sum,6040.580624749599
