Run,Repetition,Module,Name,Value
Second_exit_5-0-20191114-11:42:34-8906,0,ResponseTimeNetwork.QueueU2,queueLength:mean,0.81284046692607
Second_exit_5-1-20191114-11:42:34-8908,1,ResponseTimeNetwork.QueueU2,queueLength:mean,0.7112561174551401
Second_exit_5-10-20191114-11:42:37-8924,10,ResponseTimeNetwork.QueueU2,queueLength:mean,0.7199661590524499
Second_exit_5-11-20191114-11:42:37-8925,11,ResponseTimeNetwork.QueueU2,queueLength:mean,0.72740740740741
Second_exit_5-12-20191114-11:42:37-8927,12,ResponseTimeNetwork.QueueU2,queueLength:mean,0.81291512915129
Second_exit_5-13-20191114-11:42:38-8929,13,ResponseTimeNetwork.QueueU2,queueLength:mean,0.7014812001519201
Second_exit_5-14-20191114-11:42:38-8930,14,ResponseTimeNetwork.QueueU2,queueLength:mean,0.7140137090632099
Second_exit_5-15-20191114-11:42:38-8931,15,ResponseTimeNetwork.QueueU2,queueLength:mean,0.7398703403565601
Second_exit_5-16-20191114-11:42:38-8933,16,ResponseTimeNetwork.QueueU2,queueLength:mean,0.68612521150592
Second_exit_5-17-20191114-11:42:39-8934,17,ResponseTimeNetwork.QueueU2,queueLength:mean,0.78096249115357
Second_exit_5-18-20191114-11:42:39-8935,18,ResponseTimeNetwork.QueueU2,queueLength:mean,0.8181169757489302
Second_exit_5-19-20191114-11:42:39-8937,19,ResponseTimeNetwork.QueueU2,queueLength:mean,0.7819956616052101
Second_exit_5-2-20191114-11:42:34-8911,2,ResponseTimeNetwork.QueueU2,queueLength:mean,0.74924924924925
Second_exit_5-3-20191114-11:42:35-8912,3,ResponseTimeNetwork.QueueU2,queueLength:mean,0.74669603524229
Second_exit_5-4-20191114-11:42:35-8915,4,ResponseTimeNetwork.QueueU2,queueLength:mean,0.78593155893536
Second_exit_5-5-20191114-11:42:36-8916,5,ResponseTimeNetwork.QueueU2,queueLength:mean,0.7279521674140501
Second_exit_5-6-20191114-11:42:36-8917,6,ResponseTimeNetwork.QueueU2,queueLength:mean,0.7711864406779699
Second_exit_5-7-20191114-11:42:36-8920,7,ResponseTimeNetwork.QueueU2,queueLength:mean,0.7489114658925999
Second_exit_5-8-20191114-11:42:36-8921,8,ResponseTimeNetwork.QueueU2,queueLength:mean,0.80883444691908
Second_exit_5-9-20191114-11:42:37-8923,9,ResponseTimeNetwork.QueueU2,queueLength:mean,0.75063798760481
