Run,Repetition,Module,Name,Value
Second_exit_5-0-20191023-00:19:56-5191,0,ResponseTimeNetwork.sink,lifeTime4s:count,2060
Second_exit_5-0-20191023-00:19:56-5191,0,ResponseTimeNetwork.sink,lifeTime3s:count,2664
Second_exit_5-0-20191023-00:19:56-5191,0,ResponseTimeNetwork.sink,lifeTime2s:count,3346
Second_exit_5-0-20191023-00:19:56-5191,0,ResponseTimeNetwork.sink,numJobs:count,5985
Second_exit_5-1-20191023-00:19:56-5193,1,ResponseTimeNetwork.sink,lifeTime4s:count,2004
Second_exit_5-1-20191023-00:19:56-5193,1,ResponseTimeNetwork.sink,lifeTime3s:count,2572
Second_exit_5-1-20191023-00:19:56-5193,1,ResponseTimeNetwork.sink,lifeTime2s:count,3251
Second_exit_5-1-20191023-00:19:56-5193,1,ResponseTimeNetwork.sink,numJobs:count,5940
Second_exit_5-10-20191023-00:19:59-5205,10,ResponseTimeNetwork.sink,lifeTime4s:count,2044
Second_exit_5-10-20191023-00:19:59-5205,10,ResponseTimeNetwork.sink,lifeTime3s:count,2609
Second_exit_5-10-20191023-00:19:59-5205,10,ResponseTimeNetwork.sink,lifeTime2s:count,3295
Second_exit_5-10-20191023-00:19:59-5205,10,ResponseTimeNetwork.sink,numJobs:count,5909
Second_exit_5-11-20191023-00:19:59-5206,11,ResponseTimeNetwork.sink,lifeTime4s:count,2023
Second_exit_5-11-20191023-00:19:59-5206,11,ResponseTimeNetwork.sink,lifeTime3s:count,2647
Second_exit_5-11-20191023-00:19:59-5206,11,ResponseTimeNetwork.sink,lifeTime2s:count,3311
Second_exit_5-11-20191023-00:19:59-5206,11,ResponseTimeNetwork.sink,numJobs:count,5996
Second_exit_5-12-20191023-00:19:59-5207,12,ResponseTimeNetwork.sink,lifeTime4s:count,2159
Second_exit_5-12-20191023-00:19:59-5207,12,ResponseTimeNetwork.sink,lifeTime3s:count,2718
Second_exit_5-12-20191023-00:19:59-5207,12,ResponseTimeNetwork.sink,lifeTime2s:count,3361
Second_exit_5-12-20191023-00:19:59-5207,12,ResponseTimeNetwork.sink,numJobs:count,5976
Second_exit_5-13-20191023-00:20:00-5208,13,ResponseTimeNetwork.sink,lifeTime4s:count,2013
Second_exit_5-13-20191023-00:20:00-5208,13,ResponseTimeNetwork.sink,lifeTime3s:count,2600
Second_exit_5-13-20191023-00:20:00-5208,13,ResponseTimeNetwork.sink,lifeTime2s:count,3279
Second_exit_5-13-20191023-00:20:00-5208,13,ResponseTimeNetwork.sink,numJobs:count,5903
Second_exit_5-14-20191023-00:20:00-5209,14,ResponseTimeNetwork.sink,lifeTime4s:count,2088
Second_exit_5-14-20191023-00:20:00-5209,14,ResponseTimeNetwork.sink,lifeTime3s:count,2673
Second_exit_5-14-20191023-00:20:00-5209,14,ResponseTimeNetwork.sink,lifeTime2s:count,3306
Second_exit_5-14-20191023-00:20:00-5209,14,ResponseTimeNetwork.sink,numJobs:count,6008
Second_exit_5-15-20191023-00:20:00-5210,15,ResponseTimeNetwork.sink,lifeTime4s:count,2061
Second_exit_5-15-20191023-00:20:00-5210,15,ResponseTimeNetwork.sink,lifeTime3s:count,2655
Second_exit_5-15-20191023-00:20:00-5210,15,ResponseTimeNetwork.sink,lifeTime2s:count,3353
Second_exit_5-15-20191023-00:20:00-5210,15,ResponseTimeNetwork.sink,numJobs:count,5981
Second_exit_5-16-20191023-00:20:00-5211,16,ResponseTimeNetwork.sink,lifeTime4s:count,1984
Second_exit_5-16-20191023-00:20:00-5211,16,ResponseTimeNetwork.sink,lifeTime3s:count,2564
Second_exit_5-16-20191023-00:20:00-5211,16,ResponseTimeNetwork.sink,lifeTime2s:count,3223
Second_exit_5-16-20191023-00:20:00-5211,16,ResponseTimeNetwork.sink,numJobs:count,5829
Second_exit_5-17-20191023-00:20:00-5212,17,ResponseTimeNetwork.sink,lifeTime4s:count,2207
Second_exit_5-17-20191023-00:20:00-5212,17,ResponseTimeNetwork.sink,lifeTime3s:count,2797
Second_exit_5-17-20191023-00:20:00-5212,17,ResponseTimeNetwork.sink,lifeTime2s:count,3470
Second_exit_5-17-20191023-00:20:00-5212,17,ResponseTimeNetwork.sink,numJobs:count,6082
Second_exit_5-18-20191023-00:20:01-5213,18,ResponseTimeNetwork.sink,lifeTime4s:count,2205
Second_exit_5-18-20191023-00:20:01-5213,18,ResponseTimeNetwork.sink,lifeTime3s:count,2786
Second_exit_5-18-20191023-00:20:01-5213,18,ResponseTimeNetwork.sink,lifeTime2s:count,3425
Second_exit_5-18-20191023-00:20:01-5213,18,ResponseTimeNetwork.sink,numJobs:count,6074
Second_exit_5-19-20191023-00:20:01-5214,19,ResponseTimeNetwork.sink,lifeTime4s:count,2087
Second_exit_5-19-20191023-00:20:01-5214,19,ResponseTimeNetwork.sink,lifeTime3s:count,2708
Second_exit_5-19-20191023-00:20:01-5214,19,ResponseTimeNetwork.sink,lifeTime2s:count,3407
Second_exit_5-19-20191023-00:20:01-5214,19,ResponseTimeNetwork.sink,numJobs:count,6033
Second_exit_5-2-20191023-00:19:56-5194,2,ResponseTimeNetwork.sink,lifeTime4s:count,2101
Second_exit_5-2-20191023-00:19:56-5194,2,ResponseTimeNetwork.sink,lifeTime3s:count,2672
Second_exit_5-2-20191023-00:19:56-5194,2,ResponseTimeNetwork.sink,lifeTime2s:count,3397
Second_exit_5-2-20191023-00:19:56-5194,2,ResponseTimeNetwork.sink,numJobs:count,6082
Second_exit_5-3-20191023-00:19:57-5196,3,ResponseTimeNetwork.sink,lifeTime4s:count,2040
Second_exit_5-3-20191023-00:19:57-5196,3,ResponseTimeNetwork.sink,lifeTime3s:count,2572
Second_exit_5-3-20191023-00:19:57-5196,3,ResponseTimeNetwork.sink,lifeTime2s:count,3244
Second_exit_5-3-20191023-00:19:57-5196,3,ResponseTimeNetwork.sink,numJobs:count,5903
Second_exit_5-4-20191023-00:19:57-5198,4,ResponseTimeNetwork.sink,lifeTime4s:count,2077
Second_exit_5-4-20191023-00:19:57-5198,4,ResponseTimeNetwork.sink,lifeTime3s:count,2645
Second_exit_5-4-20191023-00:19:57-5198,4,ResponseTimeNetwork.sink,lifeTime2s:count,3325
Second_exit_5-4-20191023-00:19:57-5198,4,ResponseTimeNetwork.sink,numJobs:count,5962
Second_exit_5-5-20191023-00:19:57-5199,5,ResponseTimeNetwork.sink,lifeTime4s:count,1984
Second_exit_5-5-20191023-00:19:57-5199,5,ResponseTimeNetwork.sink,lifeTime3s:count,2577
Second_exit_5-5-20191023-00:19:57-5199,5,ResponseTimeNetwork.sink,lifeTime2s:count,3202
Second_exit_5-5-20191023-00:19:57-5199,5,ResponseTimeNetwork.sink,numJobs:count,5943
Second_exit_5-6-20191023-00:19:58-5200,6,ResponseTimeNetwork.sink,lifeTime4s:count,2007
Second_exit_5-6-20191023-00:19:58-5200,6,ResponseTimeNetwork.sink,lifeTime3s:count,2608
Second_exit_5-6-20191023-00:19:58-5200,6,ResponseTimeNetwork.sink,lifeTime2s:count,3215
Second_exit_5-6-20191023-00:19:58-5200,6,ResponseTimeNetwork.sink,numJobs:count,5860
