Run,Repetition,Module,Name,Value
Second_exit_5-0-20191114-11:42:34-8906,0,ResponseTimeNetwork.sink,lifeTimeU2:min,0.800652566273
Second_exit_5-1-20191114-11:42:34-8908,1,ResponseTimeNetwork.sink,lifeTimeU2:min,0.8015903918999999
Second_exit_5-10-20191114-11:42:37-8924,10,ResponseTimeNetwork.sink,lifeTimeU2:min,0.8024862921799999
Second_exit_5-11-20191114-11:42:37-8925,11,ResponseTimeNetwork.sink,lifeTimeU2:min,0.800119395554
Second_exit_5-12-20191114-11:42:37-8927,12,ResponseTimeNetwork.sink,lifeTimeU2:min,0.800245320238
Second_exit_5-13-20191114-11:42:38-8929,13,ResponseTimeNetwork.sink,lifeTimeU2:min,0.800214768481
Second_exit_5-14-20191114-11:42:38-8930,14,ResponseTimeNetwork.sink,lifeTimeU2:min,0.80093774749
Second_exit_5-15-20191114-11:42:38-8931,15,ResponseTimeNetwork.sink,lifeTimeU2:min,0.802610105369
Second_exit_5-16-20191114-11:42:38-8933,16,ResponseTimeNetwork.sink,lifeTimeU2:min,0.8009355046789999
Second_exit_5-17-20191114-11:42:39-8934,17,ResponseTimeNetwork.sink,lifeTimeU2:min,0.802259202581
Second_exit_5-18-20191114-11:42:39-8935,18,ResponseTimeNetwork.sink,lifeTimeU2:min,0.8002207838
Second_exit_5-19-20191114-11:42:39-8937,19,ResponseTimeNetwork.sink,lifeTimeU2:min,0.800907836203
Second_exit_5-2-20191114-11:42:34-8911,2,ResponseTimeNetwork.sink,lifeTimeU2:min,0.80016198447
Second_exit_5-3-20191114-11:42:35-8912,3,ResponseTimeNetwork.sink,lifeTimeU2:min,0.800916630775
Second_exit_5-4-20191114-11:42:35-8915,4,ResponseTimeNetwork.sink,lifeTimeU2:min,0.802199453581
Second_exit_5-5-20191114-11:42:36-8916,5,ResponseTimeNetwork.sink,lifeTimeU2:min,0.800256916601
Second_exit_5-6-20191114-11:42:36-8917,6,ResponseTimeNetwork.sink,lifeTimeU2:min,0.800549175125
Second_exit_5-7-20191114-11:42:36-8920,7,ResponseTimeNetwork.sink,lifeTimeU2:min,0.800232878327
Second_exit_5-8-20191114-11:42:36-8921,8,ResponseTimeNetwork.sink,lifeTimeU2:min,0.8001940061339999
Second_exit_5-9-20191114-11:42:37-8923,9,ResponseTimeNetwork.sink,lifeTimeU2:min,0.800077970512
