Run,Repetition,Module,Name,Value
Second_exit_5-0-20191114-11:42:34-8906,0,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,4681.3516431307
Second_exit_5-1-20191114-11:42:34-8908,1,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,4771.0492850841
Second_exit_5-10-20191114-11:42:37-8924,10,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,4776.2870126805
Second_exit_5-11-20191114-11:42:37-8925,11,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5080.591078187
Second_exit_5-12-20191114-11:42:37-8927,12,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5161.868024387
Second_exit_5-13-20191114-11:42:38-8929,13,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5155.2743704528
Second_exit_5-14-20191114-11:42:38-8930,14,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5057.2085872564
Second_exit_5-15-20191114-11:42:38-8931,15,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,4870.833812977
Second_exit_5-16-20191114-11:42:38-8933,16,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,4699.6005910024
Second_exit_5-17-20191114-11:42:39-8934,17,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5276.616067394601
Second_exit_5-18-20191114-11:42:39-8935,18,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5238.5604291655
Second_exit_5-19-20191114-11:42:39-8937,19,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5151.1588707394
Second_exit_5-2-20191114-11:42:34-8911,2,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5447.5672564193
Second_exit_5-3-20191114-11:42:35-8912,3,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5223.2071767305
Second_exit_5-4-20191114-11:42:35-8915,4,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,4819.2289957834
Second_exit_5-5-20191114-11:42:36-8916,5,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5091.922410321
Second_exit_5-6-20191114-11:42:36-8917,6,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,4940.1099127159005
Second_exit_5-7-20191114-11:42:36-8920,7,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5290.1511968895
Second_exit_5-8-20191114-11:42:36-8921,8,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5169.6787637224
Second_exit_5-9-20191114-11:42:37-8923,9,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,5190.0600369561
