Run,Repetition,Module,Name,Value
Second_exit_8-0-20191023-00:20:03-5216,0,ResponseTimeNetwork.SS1,queueLength:mean,1.1264641127257
Second_exit_8-1-20191023-00:20:04-5217,1,ResponseTimeNetwork.SS1,queueLength:mean,1.1266833844153001
Second_exit_8-10-20191023-00:20:08-5226,10,ResponseTimeNetwork.SS1,queueLength:mean,1.2417165500379
Second_exit_8-11-20191023-00:20:08-5227,11,ResponseTimeNetwork.SS1,queueLength:mean,1.0500489715965
Second_exit_8-12-20191023-00:20:08-5228,12,ResponseTimeNetwork.SS1,queueLength:mean,1.1633214187517
Second_exit_8-13-20191023-00:20:09-5229,13,ResponseTimeNetwork.SS1,queueLength:mean,1.2533714387782
Second_exit_8-14-20191023-00:20:09-5232,14,ResponseTimeNetwork.SS1,queueLength:mean,1.0361939915923002
Second_exit_8-15-20191023-00:20:10-5234,15,ResponseTimeNetwork.SS1,queueLength:mean,1.2054296109712
Second_exit_8-16-20191023-00:20:10-5236,16,ResponseTimeNetwork.SS1,queueLength:mean,1.1548124717577999
Second_exit_8-17-20191023-00:20:11-5238,17,ResponseTimeNetwork.SS1,queueLength:mean,1.2088613050598995
Second_exit_8-18-20191023-00:20:11-5240,18,ResponseTimeNetwork.SS1,queueLength:mean,1.228780697975
Second_exit_8-19-20191023-00:20:12-5242,19,ResponseTimeNetwork.SS1,queueLength:mean,1.1354302053548
Second_exit_8-2-20191023-00:20:04-5218,2,ResponseTimeNetwork.SS1,queueLength:mean,1.2439975730259
Second_exit_8-3-20191023-00:20:05-5219,3,ResponseTimeNetwork.SS1,queueLength:mean,1.1196863782353998
Second_exit_8-4-20191023-00:20:05-5220,4,ResponseTimeNetwork.SS1,queueLength:mean,1.2781193832181998
Second_exit_8-5-20191023-00:20:05-5221,5,ResponseTimeNetwork.SS1,queueLength:mean,1.2569980895423
Second_exit_8-6-20191023-00:20:06-5222,6,ResponseTimeNetwork.SS1,queueLength:mean,1.1686257180733999
Second_exit_8-7-20191023-00:20:06-5223,7,ResponseTimeNetwork.SS1,queueLength:mean,1.2536727803632
Second_exit_8-8-20191023-00:20:07-5224,8,ResponseTimeNetwork.SS1,queueLength:mean,1.2656160223262
Second_exit_8-9-20191023-00:20:07-5225,9,ResponseTimeNetwork.SS1,queueLength:mean,1.2487376872775
