Run,Repetition,Module,Name,Value
Second_exit_8-0-20191114-11:42:42-8945,0,ResponseTimeNetwork.sink,lifeTime:mean,476.18926135808
Second_exit_8-1-20191114-11:42:42-8947,1,ResponseTimeNetwork.sink,lifeTime:mean,225.23817619038
Second_exit_8-10-20191114-11:42:46-8956,10,ResponseTimeNetwork.sink,lifeTime:mean,325.56714825511
Second_exit_8-11-20191114-11:42:46-8957,11,ResponseTimeNetwork.sink,lifeTime:mean,177.16660174459
Second_exit_8-12-20191114-11:42:47-8958,12,ResponseTimeNetwork.sink,lifeTime:mean,344.53402517062995
Second_exit_8-13-20191114-11:42:47-8959,13,ResponseTimeNetwork.sink,lifeTime:mean,167.84092507391
Second_exit_8-14-20191114-11:42:47-8962,14,ResponseTimeNetwork.sink,lifeTime:mean,196.47772806692
Second_exit_8-15-20191114-11:42:48-8964,15,ResponseTimeNetwork.sink,lifeTime:mean,272.26814928516
Second_exit_8-16-20191114-11:42:48-8966,16,ResponseTimeNetwork.sink,lifeTime:mean,204.06365872031003
Second_exit_8-17-20191114-11:42:49-8968,17,ResponseTimeNetwork.sink,lifeTime:mean,560.09995917102
Second_exit_8-18-20191114-11:42:49-8970,18,ResponseTimeNetwork.sink,lifeTime:mean,521.50015282659
Second_exit_8-19-20191114-11:42:49-8971,19,ResponseTimeNetwork.sink,lifeTime:mean,231.99933241372003
Second_exit_8-2-20191114-11:42:42-8948,2,ResponseTimeNetwork.sink,lifeTime:mean,222.65312057981004
Second_exit_8-3-20191114-11:42:43-8949,3,ResponseTimeNetwork.sink,lifeTime:mean,114.07662031321999
Second_exit_8-4-20191114-11:42:43-8950,4,ResponseTimeNetwork.sink,lifeTime:mean,106.12816481314002
Second_exit_8-5-20191114-11:42:44-8951,5,ResponseTimeNetwork.sink,lifeTime:mean,390.41972475668
Second_exit_8-6-20191114-11:42:44-8952,6,ResponseTimeNetwork.sink,lifeTime:mean,380.00927968772004
Second_exit_8-7-20191114-11:42:45-8953,7,ResponseTimeNetwork.sink,lifeTime:mean,397.41529021745004
Second_exit_8-8-20191114-11:42:45-8954,8,ResponseTimeNetwork.sink,lifeTime:mean,762.64206340351
Second_exit_8-9-20191114-11:42:45-8955,9,ResponseTimeNetwork.sink,lifeTime:mean,660.92342350652
