run,repetition,Module,Name,Value
Second_exit_9-0-20191017-13:44:06-1966,0,ResponseTimeNetwork.sink,lifeTime:mean,2323.4727611060002
Second_exit_9-1-20191017-13:44:07-1968,1,ResponseTimeNetwork.sink,lifeTime:mean,2381.0911712394
Second_exit_9-10-20191017-13:44:10-1982,10,ResponseTimeNetwork.sink,lifeTime:mean,2402.7950325801003
Second_exit_9-11-20191017-13:44:11-1985,11,ResponseTimeNetwork.sink,lifeTime:mean,2116.9818089145997
Second_exit_9-12-20191017-13:44:12-1988,12,ResponseTimeNetwork.sink,lifeTime:mean,2068.219932901
Second_exit_9-13-20191017-13:44:12-1991,13,ResponseTimeNetwork.sink,lifeTime:mean,2631.5839259189
Second_exit_9-14-20191017-13:44:12-1994,14,ResponseTimeNetwork.sink,lifeTime:mean,2999.9652125715
Second_exit_9-15-20191017-13:44:13-1997,15,ResponseTimeNetwork.sink,lifeTime:mean,2325.4347767992003
Second_exit_9-16-20191017-13:44:13-2000,16,ResponseTimeNetwork.sink,lifeTime:mean,1622.6219295338
Second_exit_9-17-20191017-13:44:14-2004,17,ResponseTimeNetwork.sink,lifeTime:mean,2776.7187780737
Second_exit_9-18-20191017-13:44:14-2007,18,ResponseTimeNetwork.sink,lifeTime:mean,2211.7043233181
Second_exit_9-19-20191017-13:44:15-2010,19,ResponseTimeNetwork.sink,lifeTime:mean,2665.0044783181
Second_exit_9-2-20191017-13:44:07-1970,2,ResponseTimeNetwork.sink,lifeTime:mean,2291.4012919151
Second_exit_9-3-20191017-13:44:08-1973,3,ResponseTimeNetwork.sink,lifeTime:mean,2280.5532168161
Second_exit_9-4-20191017-13:44:08-1975,4,ResponseTimeNetwork.sink,lifeTime:mean,2440.7594328213
Second_exit_9-5-20191017-13:44:08-1977,5,ResponseTimeNetwork.sink,lifeTime:mean,1823.0395556112
Second_exit_9-6-20191017-13:44:09-1978,6,ResponseTimeNetwork.sink,lifeTime:mean,2431.2821755814
Second_exit_9-7-20191017-13:44:09-1979,7,ResponseTimeNetwork.sink,lifeTime:mean,2062.8191972644
Second_exit_9-8-20191017-13:44:10-1980,8,ResponseTimeNetwork.sink,lifeTime:mean,2759.1480983551
Second_exit_9-9-20191017-13:44:10-1981,9,ResponseTimeNetwork.sink,lifeTime:mean,2097.1441404416
