exitProb,Name,Mean,lowConfInt,upConfInt
9,LifeTimeU2min,,,
9,LifeTimeU1max,19393.599,18389.363,20397.835
9,LifeTimeU2max,,,
9,LifeTimeU1min,212.728,191.01,234.447
8,LifeTimeU2min,34.276,10.681,57.872
8,LifeTimeU1max,208.364,196.95,219.777
8,LifeTimeU2max,6692.677,5248.674,8136.681
8,LifeTimeU1min,0.846,0.83,0.862
5,LifeTimeU2min,0.801,0.8,0.801
5,LifeTimeU1max,31.841,30.347,33.335
5,LifeTimeU2max,43.369,39.53,47.209
5,LifeTimeU1min,0.801,0.8,0.801
2,LifeTimeU2min,0.8,0.8,0.801
2,LifeTimeU1max,15.049,13.706,16.392
2,LifeTimeU2max,15.221,13.808,16.634
2,LifeTimeU1min,0.8,0.8,0.8
