Run,Repetition,Module,Name,Value
Third_exit_5-0-20191114-11:42:54-8999,0,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0527283874923001
Third_exit_5-1-20191114-11:42:54-9002,1,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0331147540984
Third_exit_5-10-20191114-11:42:56-9018,10,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0041095890411
Third_exit_5-11-20191114-11:42:56-9019,11,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0184275184275
Third_exit_5-12-20191114-11:42:56-9021,12,ResponseTimeNetwork.QueueU1,queueLength:mean,0.972647702407
Third_exit_5-13-20191114-11:42:57-9022,13,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0094652939223
Third_exit_5-14-20191114-11:42:57-9023,14,ResponseTimeNetwork.QueueU1,queueLength:mean,0.98743508125314
Third_exit_5-15-20191114-11:42:57-9024,15,ResponseTimeNetwork.QueueU1,queueLength:mean,0.97812033814023
Third_exit_5-16-20191114-11:42:57-9025,16,ResponseTimeNetwork.QueueU1,queueLength:mean,0.98429144385027
Third_exit_5-17-20191114-11:42:58-9026,17,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0429564118762
Third_exit_5-18-20191114-11:42:58-9027,18,ResponseTimeNetwork.QueueU1,queueLength:mean,0.96896316507503
Third_exit_5-19-20191114-11:42:58-9028,19,ResponseTimeNetwork.QueueU1,queueLength:mean,0.9916856863384399
Third_exit_5-2-20191114-11:42:54-9004,2,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0463884430177
Third_exit_5-3-20191114-11:42:54-9006,3,ResponseTimeNetwork.QueueU1,queueLength:mean,0.9667345553292601
Third_exit_5-4-20191114-11:42:55-9009,4,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0175883378228
Third_exit_5-5-20191114-11:42:55-9011,5,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0172632245803
Third_exit_5-6-20191114-11:42:55-9012,6,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0028994845361001
Third_exit_5-7-20191114-11:42:55-9014,7,ResponseTimeNetwork.QueueU1,queueLength:mean,0.9851136921315201
Third_exit_5-8-20191114-11:42:55-9015,8,ResponseTimeNetwork.QueueU1,queueLength:mean,1.0100098457499
Third_exit_5-9-20191114-11:42:56-9016,9,ResponseTimeNetwork.QueueU1,queueLength:mean,0.99765729585007
