Run,Repetition,Module,Name,Value
Third_exit_5-0-20191114-11:42:54-8999,0,ResponseTimeNetwork.sink,lifeTime4s:count,1824
Third_exit_5-0-20191114-11:42:54-8999,0,ResponseTimeNetwork.sink,lifeTime3s:count,2129
Third_exit_5-0-20191114-11:42:54-8999,0,ResponseTimeNetwork.sink,lifeTime2s:count,2503
Third_exit_5-0-20191114-11:42:54-8999,0,ResponseTimeNetwork.sink,numJobs:count,3384
Third_exit_5-1-20191114-11:42:54-9002,1,ResponseTimeNetwork.sink,lifeTime4s:count,1774
Third_exit_5-1-20191114-11:42:54-9002,1,ResponseTimeNetwork.sink,lifeTime3s:count,2068
Third_exit_5-1-20191114-11:42:54-9002,1,ResponseTimeNetwork.sink,lifeTime2s:count,2409
Third_exit_5-1-20191114-11:42:54-9002,1,ResponseTimeNetwork.sink,numJobs:count,3314
Third_exit_5-10-20191114-11:42:56-9018,10,ResponseTimeNetwork.sink,lifeTime4s:count,1726
Third_exit_5-10-20191114-11:42:56-9018,10,ResponseTimeNetwork.sink,lifeTime3s:count,2033
Third_exit_5-10-20191114-11:42:56-9018,10,ResponseTimeNetwork.sink,lifeTime2s:count,2368
Third_exit_5-10-20191114-11:42:56-9018,10,ResponseTimeNetwork.sink,numJobs:count,3307
Third_exit_5-11-20191114-11:42:56-9019,11,ResponseTimeNetwork.sink,lifeTime4s:count,1877
Third_exit_5-11-20191114-11:42:56-9019,11,ResponseTimeNetwork.sink,lifeTime3s:count,2190
Third_exit_5-11-20191114-11:42:56-9019,11,ResponseTimeNetwork.sink,lifeTime2s:count,2572
Third_exit_5-11-20191114-11:42:56-9019,11,ResponseTimeNetwork.sink,numJobs:count,3435
Third_exit_5-12-20191114-11:42:56-9021,12,ResponseTimeNetwork.sink,lifeTime4s:count,1728
Third_exit_5-12-20191114-11:42:56-9021,12,ResponseTimeNetwork.sink,lifeTime3s:count,2007
Third_exit_5-12-20191114-11:42:56-9021,12,ResponseTimeNetwork.sink,lifeTime2s:count,2326
