run,repetition,Module,Name,Value
Third_exit_5-0-20191017-13:44:16-2014,0,ResponseTimeNetwork.sink,lifeTimeU1:max,60.654248780748
Third_exit_5-1-20191017-13:44:16-2015,1,ResponseTimeNetwork.sink,lifeTimeU1:max,78.262892837408
Third_exit_5-10-20191017-13:44:18-2024,10,ResponseTimeNetwork.sink,lifeTimeU1:max,88.00146576666
Third_exit_5-11-20191017-13:44:18-2025,11,ResponseTimeNetwork.sink,lifeTimeU1:max,67.686628377449
Third_exit_5-12-20191017-13:44:18-2026,12,ResponseTimeNetwork.sink,lifeTimeU1:max,73.17985154366201
Third_exit_5-13-20191017-13:44:18-2027,13,ResponseTimeNetwork.sink,lifeTimeU1:max,72.368072832702
Third_exit_5-14-20191017-13:44:19-2028,14,ResponseTimeNetwork.sink,lifeTimeU1:max,62.027860059482
Third_exit_5-15-20191017-13:44:19-2029,15,ResponseTimeNetwork.sink,lifeTimeU1:max,63.44601217445501
Third_exit_5-16-20191017-13:44:19-2030,16,ResponseTimeNetwork.sink,lifeTimeU1:max,55.263245671419
Third_exit_5-17-20191017-13:44:19-2031,17,ResponseTimeNetwork.sink,lifeTimeU1:max,74.045797881484
Third_exit_5-18-20191017-13:44:19-2032,18,ResponseTimeNetwork.sink,lifeTimeU1:max,110.47326836484
Third_exit_5-19-20191017-13:44:20-2033,19,ResponseTimeNetwork.sink,lifeTimeU1:max,72.66424910837698
Third_exit_5-2-20191017-13:44:16-2016,2,ResponseTimeNetwork.sink,lifeTimeU1:max,68.492204409415
Third_exit_5-3-20191017-13:44:16-2017,3,ResponseTimeNetwork.sink,lifeTimeU1:max,58.052172296082
Third_exit_5-4-20191017-13:44:17-2018,4,ResponseTimeNetwork.sink,lifeTimeU1:max,62.64552602255299
Third_exit_5-5-20191017-13:44:17-2019,5,ResponseTimeNetwork.sink,lifeTimeU1:max,62.063908878123996
Third_exit_5-6-20191017-13:44:17-2020,6,ResponseTimeNetwork.sink,lifeTimeU1:max,61.210354179526995
Third_exit_5-7-20191017-13:44:17-2021,7,ResponseTimeNetwork.sink,lifeTimeU1:max,88.74508600701998
Third_exit_5-8-20191017-13:44:17-2022,8,ResponseTimeNetwork.sink,lifeTimeU1:max,83.747571687701
Third_exit_5-9-20191017-13:44:18-2023,9,ResponseTimeNetwork.sink,lifeTimeU1:max,57.970492896327
