run,repetition,Module,Name,Value
Third_exit_5-0-20191017-13:44:16-2014,0,ResponseTimeNetwork.sink,lifeTimeU1:min,1.200498301722
Third_exit_5-1-20191017-13:44:16-2015,1,ResponseTimeNetwork.sink,lifeTimeU1:min,1.2001368362459999
Third_exit_5-10-20191017-13:44:18-2024,10,ResponseTimeNetwork.sink,lifeTimeU1:min,1.2003629360349999
Third_exit_5-11-20191017-13:44:18-2025,11,ResponseTimeNetwork.sink,lifeTimeU1:min,1.2009668875489998
Third_exit_5-12-20191017-13:44:18-2026,12,ResponseTimeNetwork.sink,lifeTimeU1:min,1.200031361915
Third_exit_5-13-20191017-13:44:18-2027,13,ResponseTimeNetwork.sink,lifeTimeU1:min,1.2000148627910001
Third_exit_5-14-20191017-13:44:19-2028,14,ResponseTimeNetwork.sink,lifeTimeU1:min,1.200457759947
Third_exit_5-15-20191017-13:44:19-2029,15,ResponseTimeNetwork.sink,lifeTimeU1:min,1.200096789747
Third_exit_5-16-20191017-13:44:19-2030,16,ResponseTimeNetwork.sink,lifeTimeU1:min,1.201587521285
Third_exit_5-17-20191017-13:44:19-2031,17,ResponseTimeNetwork.sink,lifeTimeU1:min,1.200519795343
Third_exit_5-18-20191017-13:44:19-2032,18,ResponseTimeNetwork.sink,lifeTimeU1:min,1.201074085943
Third_exit_5-19-20191017-13:44:20-2033,19,ResponseTimeNetwork.sink,lifeTimeU1:min,1.2001574022700001
Third_exit_5-2-20191017-13:44:16-2016,2,ResponseTimeNetwork.sink,lifeTimeU1:min,1.200148720853
Third_exit_5-3-20191017-13:44:16-2017,3,ResponseTimeNetwork.sink,lifeTimeU1:min,1.201779884845
Third_exit_5-4-20191017-13:44:17-2018,4,ResponseTimeNetwork.sink,lifeTimeU1:min,1.200101826526
Third_exit_5-5-20191017-13:44:17-2019,5,ResponseTimeNetwork.sink,lifeTimeU1:min,1.202244514786
Third_exit_5-6-20191017-13:44:17-2020,6,ResponseTimeNetwork.sink,lifeTimeU1:min,1.201191684231
Third_exit_5-7-20191017-13:44:17-2021,7,ResponseTimeNetwork.sink,lifeTimeU1:min,1.200091398507
Third_exit_5-8-20191017-13:44:17-2022,8,ResponseTimeNetwork.sink,lifeTimeU1:min,1.2010068899019999
Third_exit_5-9-20191017-13:44:18-2023,9,ResponseTimeNetwork.sink,lifeTimeU1:min,1.200253297389
