Run,Repetition,Module,Name,Value
Third_exit_5-0-20191114-11:42:54-8999,0,ResponseTimeNetwork.sink,totalServiceTime:sum,16073.681255375
Third_exit_5-1-20191114-11:42:54-9002,1,ResponseTimeNetwork.sink,totalServiceTime:sum,15485.570353116002
Third_exit_5-10-20191114-11:42:56-9018,10,ResponseTimeNetwork.sink,totalServiceTime:sum,15592.628986948
Third_exit_5-11-20191114-11:42:56-9019,11,ResponseTimeNetwork.sink,totalServiceTime:sum,16390.354042553998
Third_exit_5-12-20191114-11:42:56-9021,12,ResponseTimeNetwork.sink,totalServiceTime:sum,15130.778762998001
Third_exit_5-13-20191114-11:42:57-9022,13,ResponseTimeNetwork.sink,totalServiceTime:sum,15515.528222715
Third_exit_5-14-20191114-11:42:57-9023,14,ResponseTimeNetwork.sink,totalServiceTime:sum,15725.473853213998
Third_exit_5-15-20191114-11:42:57-9024,15,ResponseTimeNetwork.sink,totalServiceTime:sum,15454.091339123
Third_exit_5-16-20191114-11:42:57-9025,16,ResponseTimeNetwork.sink,totalServiceTime:sum,15301.139415717
Third_exit_5-17-20191114-11:42:58-9026,17,ResponseTimeNetwork.sink,totalServiceTime:sum,15500.079395338
Third_exit_5-18-20191114-11:42:58-9027,18,ResponseTimeNetwork.sink,totalServiceTime:sum,15218.887294001
Third_exit_5-19-20191114-11:42:58-9028,19,ResponseTimeNetwork.sink,totalServiceTime:sum,15892.71399313
Third_exit_5-2-20191114-11:42:54-9004,2,ResponseTimeNetwork.sink,totalServiceTime:sum,15900.598957388
Third_exit_5-3-20191114-11:42:54-9006,3,ResponseTimeNetwork.sink,totalServiceTime:sum,15760.079862487
Third_exit_5-4-20191114-11:42:55-9009,4,ResponseTimeNetwork.sink,totalServiceTime:sum,16138.14237179
Third_exit_5-5-20191114-11:42:55-9011,5,ResponseTimeNetwork.sink,totalServiceTime:sum,15918.968088364
Third_exit_5-6-20191114-11:42:55-9012,6,ResponseTimeNetwork.sink,totalServiceTime:sum,16047.442991086002
Third_exit_5-7-20191114-11:42:55-9014,7,ResponseTimeNetwork.sink,totalServiceTime:sum,15803.327741011
Third_exit_5-8-20191114-11:42:55-9015,8,ResponseTimeNetwork.sink,totalServiceTime:sum,16217.229832883999
Third_exit_5-9-20191114-11:42:56-9016,9,ResponseTimeNetwork.sink,totalServiceTime:sum,15687.657122503
