Run,Repetition,Module,Name,Value
Third_exit_5-0-20191114-11:42:54-8999,0,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3256.503040587
Third_exit_5-1-20191114-11:42:54-9002,1,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3526.8352513668
Third_exit_5-10-20191114-11:42:56-9018,10,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3611.0812800721997
Third_exit_5-11-20191114-11:42:56-9019,11,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3780.8494481269
Third_exit_5-12-20191114-11:42:56-9021,12,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3636.090537705301
Third_exit_5-13-20191114-11:42:57-9022,13,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3422.8962150218
Third_exit_5-14-20191114-11:42:57-9023,14,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3552.1602974773
Third_exit_5-15-20191114-11:42:57-9024,15,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3506.7089190408
Third_exit_5-16-20191114-11:42:57-9025,16,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3161.757166792
Third_exit_5-17-20191114-11:42:58-9026,17,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,2998.3796378388
Third_exit_5-18-20191114-11:42:58-9027,18,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3454.6307791004997
Third_exit_5-19-20191114-11:42:58-9028,19,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3529.9718174013
Third_exit_5-2-20191114-11:42:54-9004,2,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3636.8061976852
Third_exit_5-3-20191114-11:42:54-9006,3,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3657.1391913296998
Third_exit_5-4-20191114-11:42:55-9009,4,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3948.4750324847996
Third_exit_5-5-20191114-11:42:55-9011,5,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3330.4404183409997
Third_exit_5-6-20191114-11:42:55-9012,6,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3659.1539459462
Third_exit_5-7-20191114-11:42:55-9014,7,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3503.7867711263
Third_exit_5-8-20191114-11:42:55-9015,8,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3910.1694875992
Third_exit_5-9-20191114-11:42:56-9016,9,ResponseTimeNetwork.sink,totalServiceTimeU2:sum,3325.2479450053997
