run,repetition,Module,Name,Value
Third_exit_8-0-20191017-13:44:23-2035,0,ResponseTimeNetwork.QueueU1,queueLength:mean,144.23168285049
Third_exit_8-1-20191017-13:44:23-2036,1,ResponseTimeNetwork.QueueU1,queueLength:mean,115.27218400573999
Third_exit_8-10-20191017-13:44:26-2045,10,ResponseTimeNetwork.QueueU1,queueLength:mean,130.36852563253
Third_exit_8-11-20191017-13:44:27-2046,11,ResponseTimeNetwork.QueueU1,queueLength:mean,199.59610705596
Third_exit_8-12-20191017-13:44:27-2047,12,ResponseTimeNetwork.QueueU1,queueLength:mean,133.87255734918998
Third_exit_8-13-20191017-13:44:27-2048,13,ResponseTimeNetwork.QueueU1,queueLength:mean,113.65872150248998
Third_exit_8-14-20191017-13:44:27-2049,14,ResponseTimeNetwork.QueueU1,queueLength:mean,92.357104282551
Third_exit_8-15-20191017-13:44:28-2050,15,ResponseTimeNetwork.QueueU1,queueLength:mean,114.84392894238998
Third_exit_8-16-20191017-13:44:28-2051,16,ResponseTimeNetwork.QueueU1,queueLength:mean,68.96088657105601
Third_exit_8-17-20191017-13:44:29-2052,17,ResponseTimeNetwork.QueueU1,queueLength:mean,305.5129391963
Third_exit_8-18-20191017-13:44:29-2053,18,ResponseTimeNetwork.QueueU1,queueLength:mean,180.43827176816
Third_exit_8-19-20191017-13:44:29-2057,19,ResponseTimeNetwork.QueueU1,queueLength:mean,189.85657856366
Third_exit_8-2-20191017-13:44:24-2037,2,ResponseTimeNetwork.QueueU1,queueLength:mean,156.11725199756
Third_exit_8-3-20191017-13:44:24-2038,3,ResponseTimeNetwork.QueueU1,queueLength:mean,97.419542829772
Third_exit_8-4-20191017-13:44:25-2039,4,ResponseTimeNetwork.QueueU1,queueLength:mean,134.23778092515
Third_exit_8-5-20191017-13:44:25-2040,5,ResponseTimeNetwork.QueueU1,queueLength:mean,67.520784480921
Third_exit_8-6-20191017-13:44:25-2041,6,ResponseTimeNetwork.QueueU1,queueLength:mean,189.28812973548
Third_exit_8-7-20191017-13:44:25-2042,7,ResponseTimeNetwork.QueueU1,queueLength:mean,143.17303865643999
Third_exit_8-8-20191017-13:44:26-2043,8,ResponseTimeNetwork.QueueU1,queueLength:mean,190.71042084168
Third_exit_8-9-20191017-13:44:26-2044,9,ResponseTimeNetwork.QueueU1,queueLength:mean,60.580163224074
