run,repetition,Module,Name,Value
Third_exit_8-0-20191017-13:44:23-2035,0,ResponseTimeNetwork.SS2,queueLength:mean,0.8390804597701099
Third_exit_8-1-20191017-13:44:23-2036,1,ResponseTimeNetwork.SS2,queueLength:mean,0.42857142857143
Third_exit_8-10-20191017-13:44:26-2045,10,ResponseTimeNetwork.SS2,queueLength:mean,0.33333333333333
Third_exit_8-11-20191017-13:44:27-2046,11,ResponseTimeNetwork.SS2,queueLength:mean,0.33333333333333
Third_exit_8-12-20191017-13:44:27-2047,12,ResponseTimeNetwork.SS2,queueLength:mean,0.42857142857143
Third_exit_8-13-20191017-13:44:27-2048,13,ResponseTimeNetwork.SS2,queueLength:mean,0.33333333333333
Third_exit_8-14-20191017-13:44:27-2049,14,ResponseTimeNetwork.SS2,queueLength:mean,1.2522522522523
Third_exit_8-15-20191017-13:44:28-2050,15,ResponseTimeNetwork.SS2,queueLength:mean,0.42857142857143
Third_exit_8-16-20191017-13:44:28-2051,16,ResponseTimeNetwork.SS2,queueLength:mean,0.6666666666666701
Third_exit_8-17-20191017-13:44:29-2052,17,ResponseTimeNetwork.SS2,queueLength:mean,0.0
Third_exit_8-18-20191017-13:44:29-2053,18,ResponseTimeNetwork.SS2,queueLength:mean,0.0
Third_exit_8-19-20191017-13:44:29-2057,19,ResponseTimeNetwork.SS2,queueLength:mean,0.0
Third_exit_8-2-20191017-13:44:24-2037,2,ResponseTimeNetwork.SS2,queueLength:mean,0.4
Third_exit_8-3-20191017-13:44:24-2038,3,ResponseTimeNetwork.SS2,queueLength:mean,0.71428571428571
Third_exit_8-4-20191017-13:44:25-2039,4,ResponseTimeNetwork.SS2,queueLength:mean,1.6567164179104001
Third_exit_8-5-20191017-13:44:25-2040,5,ResponseTimeNetwork.SS2,queueLength:mean,0.91891891891892
Third_exit_8-6-20191017-13:44:25-2041,6,ResponseTimeNetwork.SS2,queueLength:mean,0.7818181818181801
Third_exit_8-7-20191017-13:44:25-2042,7,ResponseTimeNetwork.SS2,queueLength:mean,0.57894736842105
Third_exit_8-8-20191017-13:44:26-2043,8,ResponseTimeNetwork.SS2,queueLength:mean,0.0
Third_exit_8-9-20191017-13:44:26-2044,9,ResponseTimeNetwork.SS2,queueLength:mean,1.1052631578947
