run,repetition,Module,Name,Value
Third_exit_8-0-20191017-13:44:23-2035,0,ResponseTimeNetwork.sink,lifeTime:mean,1096.2044524294001
Third_exit_8-1-20191017-13:44:23-2036,1,ResponseTimeNetwork.sink,lifeTime:mean,842.27165856536
Third_exit_8-10-20191017-13:44:26-2045,10,ResponseTimeNetwork.sink,lifeTime:mean,974.6768223997999
Third_exit_8-11-20191017-13:44:27-2046,11,ResponseTimeNetwork.sink,lifeTime:mean,1401.3947603539002
Third_exit_8-12-20191017-13:44:27-2047,12,ResponseTimeNetwork.sink,lifeTime:mean,967.1237256325701
Third_exit_8-13-20191017-13:44:27-2048,13,ResponseTimeNetwork.sink,lifeTime:mean,853.3962464985901
Third_exit_8-14-20191017-13:44:27-2049,14,ResponseTimeNetwork.sink,lifeTime:mean,722.59737968793
Third_exit_8-15-20191017-13:44:28-2050,15,ResponseTimeNetwork.sink,lifeTime:mean,848.03475798139
Third_exit_8-16-20191017-13:44:28-2051,16,ResponseTimeNetwork.sink,lifeTime:mean,486.45079449037
Third_exit_8-17-20191017-13:44:29-2052,17,ResponseTimeNetwork.sink,lifeTime:mean,2076.6346829644
Third_exit_8-18-20191017-13:44:29-2053,18,ResponseTimeNetwork.sink,lifeTime:mean,1335.4727359303
Third_exit_8-19-20191017-13:44:29-2057,19,ResponseTimeNetwork.sink,lifeTime:mean,1368.3339420492
Third_exit_8-2-20191017-13:44:24-2037,2,ResponseTimeNetwork.sink,lifeTime:mean,1171.3571436863
Third_exit_8-3-20191017-13:44:24-2038,3,ResponseTimeNetwork.sink,lifeTime:mean,746.98546843291
Third_exit_8-4-20191017-13:44:25-2039,4,ResponseTimeNetwork.sink,lifeTime:mean,966.6945751677803
Third_exit_8-5-20191017-13:44:25-2040,5,ResponseTimeNetwork.sink,lifeTime:mean,540.5351505789599
Third_exit_8-6-20191017-13:44:25-2041,6,ResponseTimeNetwork.sink,lifeTime:mean,1285.3718886453998
Third_exit_8-7-20191017-13:44:25-2042,7,ResponseTimeNetwork.sink,lifeTime:mean,1013.3090097746001
Third_exit_8-8-20191017-13:44:26-2043,8,ResponseTimeNetwork.sink,lifeTime:mean,1277.1689012687
Third_exit_8-9-20191017-13:44:26-2044,9,ResponseTimeNetwork.sink,lifeTime:mean,458.97336591108
