Run,Repetition,Module,Name,Value
Third_exit_8-0-20191114-11:42:58-9030,0,ResponseTimeNetwork.sink,lifeTimeU1:min,201.17828517064999
Third_exit_8-1-20191114-11:42:59-9031,1,ResponseTimeNetwork.sink,lifeTimeU1:min,114.42307079493
Third_exit_8-10-20191114-11:43:02-9040,10,ResponseTimeNetwork.sink,lifeTimeU1:min,112.10633104183998
Third_exit_8-11-20191114-11:43:02-9041,11,ResponseTimeNetwork.sink,lifeTimeU1:min,235.1073548559
Third_exit_8-12-20191114-11:43:02-9042,12,ResponseTimeNetwork.sink,lifeTimeU1:min,55.985517823787
Third_exit_8-13-20191114-11:43:03-9043,13,ResponseTimeNetwork.sink,lifeTimeU1:min,84.236897400926
Third_exit_8-14-20191114-11:43:03-9044,14,ResponseTimeNetwork.sink,lifeTimeU1:min,127.94090565139999
Third_exit_8-15-20191114-11:43:03-9045,15,ResponseTimeNetwork.sink,lifeTimeU1:min,129.47211420433
Third_exit_8-16-20191114-11:43:04-9046,16,ResponseTimeNetwork.sink,lifeTimeU1:min,2.237161723761
Third_exit_8-17-20191114-11:43:04-9047,17,ResponseTimeNetwork.sink,lifeTimeU1:min,364.2252231595
Third_exit_8-18-20191114-11:43:04-9050,18,ResponseTimeNetwork.sink,lifeTimeU1:min,257.98680604508996
Third_exit_8-19-20191114-11:43:05-9052,19,ResponseTimeNetwork.sink,lifeTimeU1:min,217.35704843651
Third_exit_8-2-20191114-11:42:59-9032,2,ResponseTimeNetwork.sink,lifeTimeU1:min,231.31126399955002
Third_exit_8-3-20191114-11:43:00-9033,3,ResponseTimeNetwork.sink,lifeTimeU1:min,92.70292817538099
Third_exit_8-4-20191114-11:43:00-9034,4,ResponseTimeNetwork.sink,lifeTimeU1:min,157.88722270103
Third_exit_8-5-20191114-11:43:00-9035,5,ResponseTimeNetwork.sink,lifeTimeU1:min,57.747871827753
Third_exit_8-6-20191114-11:43:01-9036,6,ResponseTimeNetwork.sink,lifeTimeU1:min,186.50635920445998
Third_exit_8-7-20191114-11:43:01-9037,7,ResponseTimeNetwork.sink,lifeTimeU1:min,173.46930629162
Third_exit_8-8-20191114-11:43:01-9038,8,ResponseTimeNetwork.sink,lifeTimeU1:min,173.67511756531997
Third_exit_8-9-20191114-11:43:02-9039,9,ResponseTimeNetwork.sink,lifeTimeU1:min,3.294055616692
