Run,Repetition,Module,Name,Value
Third_exit_9-0-20191023-00:20:28-5317,0,ResponseTimeNetwork.sink,lifeTime:mean,5769.397264426601
Third_exit_9-1-20191023-00:20:28-5319,1,ResponseTimeNetwork.sink,lifeTime:mean,5634.8814038998
Third_exit_9-10-20191023-00:20:31-5331,10,ResponseTimeNetwork.sink,lifeTime:mean,5760.3126766837
Third_exit_9-11-20191023-00:20:31-5332,11,ResponseTimeNetwork.sink,lifeTime:mean,5630.616474163001
Third_exit_9-12-20191023-00:20:31-5333,12,ResponseTimeNetwork.sink,lifeTime:mean,5332.6418514357
Third_exit_9-13-20191023-00:20:32-5334,13,ResponseTimeNetwork.sink,lifeTime:mean,5649.273293188299
Third_exit_9-14-20191023-00:20:32-5335,14,ResponseTimeNetwork.sink,lifeTime:mean,5445.1257593607
Third_exit_9-15-20191023-00:20:32-5336,15,ResponseTimeNetwork.sink,lifeTime:mean,5188.670632089
Third_exit_9-16-20191023-00:20:33-5337,16,ResponseTimeNetwork.sink,lifeTime:mean,5149.6254230332
Third_exit_9-17-20191023-00:20:33-5338,17,ResponseTimeNetwork.sink,lifeTime:mean,5796.674837259599
Third_exit_9-18-20191023-00:20:33-5339,18,ResponseTimeNetwork.sink,lifeTime:mean,6086.5301268491
Third_exit_9-19-20191023-00:20:34-5340,19,ResponseTimeNetwork.sink,lifeTime:mean,5582.224371525302
Third_exit_9-2-20191023-00:20:28-5321,2,ResponseTimeNetwork.sink,lifeTime:mean,5772.9390441125
Third_exit_9-3-20191023-00:20:29-5324,3,ResponseTimeNetwork.sink,lifeTime:mean,5604.474767074201
Third_exit_9-4-20191023-00:20:29-5325,4,ResponseTimeNetwork.sink,lifeTime:mean,5679.3963962229
Third_exit_9-5-20191023-00:20:30-5326,5,ResponseTimeNetwork.sink,lifeTime:mean,5628.2154568697
Third_exit_9-6-20191023-00:20:30-5327,6,ResponseTimeNetwork.sink,lifeTime:mean,5585.3164143631
Third_exit_9-7-20191023-00:20:30-5328,7,ResponseTimeNetwork.sink,lifeTime:mean,5784.8462353267005
Third_exit_9-8-20191023-00:20:30-5329,8,ResponseTimeNetwork.sink,lifeTime:mean,5877.7749694749
Third_exit_9-9-20191023-00:20:31-5330,9,ResponseTimeNetwork.sink,lifeTime:mean,5299.5737693648
