Run,Repetition,Module,Name,Value
Third_exit_9-0-20191023-00:20:28-5317,0,ResponseTimeNetwork.sink,lifeTimeU1:max,29394.570595699
Third_exit_9-1-20191023-00:20:28-5319,1,ResponseTimeNetwork.sink,lifeTimeU1:max,25679.385757527998
Third_exit_9-10-20191023-00:20:31-5331,10,ResponseTimeNetwork.sink,lifeTimeU1:max,27791.026230934
Third_exit_9-11-20191023-00:20:31-5332,11,ResponseTimeNetwork.sink,lifeTimeU1:max,24215.132841376002
Third_exit_9-12-20191023-00:20:31-5333,12,ResponseTimeNetwork.sink,lifeTimeU1:max,26221.74234007
Third_exit_9-13-20191023-00:20:32-5334,13,ResponseTimeNetwork.sink,lifeTimeU1:max,26079.741716347
Third_exit_9-14-20191023-00:20:32-5335,14,ResponseTimeNetwork.sink,lifeTimeU1:max,28518.804798155
Third_exit_9-15-20191023-00:20:32-5336,15,ResponseTimeNetwork.sink,lifeTimeU1:max,28833.918370205
Third_exit_9-16-20191023-00:20:33-5337,16,ResponseTimeNetwork.sink,lifeTimeU1:max,25865.51286698
Third_exit_9-17-20191023-00:20:33-5338,17,ResponseTimeNetwork.sink,lifeTimeU1:max,26157.800593264
Third_exit_9-18-20191023-00:20:33-5339,18,ResponseTimeNetwork.sink,lifeTimeU1:max,26899.554395831
Third_exit_9-19-20191023-00:20:34-5340,19,ResponseTimeNetwork.sink,lifeTimeU1:max,26383.764087328
Third_exit_9-2-20191023-00:20:28-5321,2,ResponseTimeNetwork.sink,lifeTimeU1:max,27875.180753858
Third_exit_9-3-20191023-00:20:29-5324,3,ResponseTimeNetwork.sink,lifeTimeU1:max,25885.381613057
Third_exit_9-4-20191023-00:20:29-5325,4,ResponseTimeNetwork.sink,lifeTimeU1:max,27960.257731411002
Third_exit_9-5-20191023-00:20:30-5326,5,ResponseTimeNetwork.sink,lifeTimeU1:max,26669.06563905
Third_exit_9-6-20191023-00:20:30-5327,6,ResponseTimeNetwork.sink,lifeTimeU1:max,27565.413190717
Third_exit_9-7-20191023-00:20:30-5328,7,ResponseTimeNetwork.sink,lifeTimeU1:max,25514.303268405
Third_exit_9-8-20191023-00:20:30-5329,8,ResponseTimeNetwork.sink,lifeTimeU1:max,28448.246504295
Third_exit_9-9-20191023-00:20:31-5330,9,ResponseTimeNetwork.sink,lifeTimeU1:max,25714.000568912
