Run,Repetition,Module,Name,Value
Third_exit_9-0-20191023-00:20:28-5317,0,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-1-20191023-00:20:28-5319,1,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-10-20191023-00:20:31-5331,10,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-11-20191023-00:20:31-5332,11,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-12-20191023-00:20:31-5333,12,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-13-20191023-00:20:32-5334,13,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-14-20191023-00:20:32-5335,14,ResponseTimeNetwork.sink,lifeTimeU2:mean,28.049670214145003
Third_exit_9-15-20191023-00:20:32-5336,15,ResponseTimeNetwork.sink,lifeTimeU2:mean,21.514828391704
Third_exit_9-16-20191023-00:20:33-5337,16,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-17-20191023-00:20:33-5338,17,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-18-20191023-00:20:33-5339,18,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-19-20191023-00:20:34-5340,19,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-2-20191023-00:20:28-5321,2,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-3-20191023-00:20:29-5324,3,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-4-20191023-00:20:29-5325,4,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-5-20191023-00:20:30-5326,5,ResponseTimeNetwork.sink,lifeTimeU2:mean,9.817331488292
Third_exit_9-6-20191023-00:20:30-5327,6,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-7-20191023-00:20:30-5328,7,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-8-20191023-00:20:30-5329,8,ResponseTimeNetwork.sink,lifeTimeU2:mean,
Third_exit_9-9-20191023-00:20:31-5330,9,ResponseTimeNetwork.sink,lifeTimeU2:mean,
