exitProb,Name,Mean,lowConfInt,upConfInt
5,LengthQueueU2,0.798,0.773,0.824
5,LengthQueueU1,1.004,0.992,1.016
5,LengthSS1,0.656,0.639,0.674
5,LengthSS2,0.585,0.541,0.629
2,LengthQueueU2,0.596,0.581,0.611
2,LengthQueueU1,0.722,0.709,0.734
2,LengthSS1,0.532,0.517,0.548
2,LengthSS2,0.5,0.5,0.5
9,LengthQueueU2,672.9,662.684,683.116
9,LengthQueueU1,1426.88,1403.945,1449.815
9,LengthSS1,2.222,2.156,2.288
9,LengthSS2,,,
8,LengthQueueU2,654.827,642.492,667.162
8,LengthQueueU1,182.196,147.794,216.597
8,LengthSS1,1.634,1.598,1.669
8,LengthSS2,1.167,,
