exitProb,Name,Mean,lowConfInt,upConfInt
5,LifeTimeU2min,1.204,1.202,1.206
5,LifeTimeU1max,63.193,58.54,67.846
5,LifeTimeU2max,98.602,89.264,107.94
5,LifeTimeU1min,1.201,1.201,1.202
2,LifeTimeU2min,1.202,1.201,1.203
2,LifeTimeU1max,24.204,22.783,25.625
2,LifeTimeU2max,26.429,24.438,28.42
2,LifeTimeU1min,1.2,1.2,1.201
9,LifeTimeU2min,,,
9,LifeTimeU1max,26883.64,26253.767,27513.514
9,LifeTimeU2max,,,
9,LifeTimeU1min,1035.53,1011.25,1059.81
8,LifeTimeU2min,11219.215,9733.242,12705.188
8,LifeTimeU1max,9979.396,8620.604,11338.187
8,LifeTimeU2max,11234.854,9738.53,12731.177
8,LifeTimeU1min,148.943,106.949,190.936
